MSSubClass,MSZoning,LotArea,Utilities,Neighborhood,OverallCond,TotalBsmtSF,RoofMatl,BedroomAbvGr,Foundation,HouseStyle,CentralAir,ExterCond,GrLivArea,Fireplaces,KitchenAbvGr,TotRmsAbvGrd,GarageType,GarageArea,PavedDrive,SalePrice,Age
20,RL,7200,AllPub,NAmes,7,900,CompShg,3,CBlock,1Story,Y,TA,900,0,1,5,Detchd,576,Y,134800,59
20,RL,11478,AllPub,NridgHt,5,1704,CompShg,3,PConc,1Story,Y,TA,1704,1,1,7,Attchd,772,Y,306000,3
20,RL,16321,AllPub,NAmes,6,1484,CompShg,2,CBlock,1Story,Y,TA,1600,2,1,6,Attchd,319,Y,207500,49
30,RM,6324,AllPub,BrkSide,6,520,CompShg,1,BrkTil,1Story,N,TA,520,0,1,4,Detchd,240,Y,68500,81
70,C (all),8500,AllPub,IDOTRR,4,649,CompShg,3,BrkTil,2Story,N,Fa,1317,0,1,6,Detchd,250,N,40000,88
20,RL,8544,AllPub,Sawyer,6,1228,CompShg,3,CBlock,1Story,Y,TA,1228,0,1,6,Attchd,271,Y,149350,42
20,RL,11049,AllPub,CollgCr,5,1234,CompShg,3,PConc,1Story,Y,TA,1234,0,1,7,Attchd,484,Y,179900,1
20,RL,10552,AllPub,NAmes,5,1398,CompShg,4,CBlock,1Story,Y,TA,1700,1,1,6,Attchd,447,Y,165500,51
120,RL,7313,AllPub,NridgHt,5,1561,CompShg,2,PConc,1Story,Y,TA,1561,1,1,6,Attchd,556,Y,277500,2
60,RL,13418,AllPub,NridgHt,5,1117,CompShg,4,PConc,2Story,Y,TA,2452,1,1,9,BuiltIn,691,Y,309000,2
20,RL,10859,AllPub,CollgCr,5,1097,CompShg,3,PConc,1Story,Y,TA,1097,0,1,6,Attchd,672,Y,145000,15
20,RL,8532,AllPub,NAmes,6,1297,CompShg,3,CBlock,1Story,Y,TA,1297,1,1,5,Attchd,498,Y,153000,55
20,RL,7922,AllPub,NAmes,7,1057,CompShg,3,CBlock,1Story,Y,Gd,1057,0,1,5,Detchd,246,Y,109000,57
90,RL,6040,AllPub,Edwards,5,0,CompShg,2,PConc,1Story,N,TA,1152,0,2,6,,0,N,82000,53
20,RL,8658,AllPub,NAmes,5,1088,CompShg,3,CBlock,1Story,Y,TA,1324,1,1,6,Attchd,440,Y,160000,41
20,RL,16905,AllPub,Timber,6,1350,CompShg,2,CBlock,1Story,Y,Gd,1328,2,1,5,Attchd,308,P,170000,48
85,RL,9180,AllPub,SawyerW,7,840,CompShg,2,CBlock,SFoyer,Y,TA,884,0,1,5,Attchd,504,Y,144000,24
20,RL,9200,AllPub,CollgCr,6,938,CompShg,3,CBlock,1Story,Y,TA,938,0,1,5,Detchd,308,Y,130250,33
20,RL,7945,AllPub,NAmes,6,1150,CompShg,3,CBlock,1Story,Y,TA,1150,0,1,6,Attchd,300,Y,141000,47
120,RL,7658,AllPub,NridgHt,5,1752,CompShg,2,PConc,1Story,Y,TA,1752,1,1,6,Attchd,576,Y,319900,5
50,RL,12822,AllPub,Mitchel,5,1434,CompShg,1,PConc,1.5Fin,Y,TA,2149,1,1,6,Attchd,670,Y,239686,6
20,FV,11096,AllPub,Somerst,5,1656,CompShg,3,PConc,1Story,Y,TA,1656,0,1,7,Attchd,826,Y,249700,1
190,RM,4456,AllPub,OldTown,5,736,CompShg,2,BrkTil,2Story,Y,TA,1452,0,3,8,,0,N,113000,89
20,RL,7742,AllPub,Sawyer,7,955,CompShg,3,CBlock,1Story,Y,TA,955,0,1,6,Attchd,386,Y,127000,41
60,RL,13869,AllPub,Gilbert,6,794,CompShg,3,PConc,2Story,Y,TA,1470,0,1,6,Attchd,388,Y,177000,10
50,RM,6240,AllPub,BrkSide,6,816,CompShg,3,PConc,1.5Fin,Y,TA,1176,1,1,6,Detchd,528,Y,114500,72
90,RM,8472,AllPub,IDOTRR,5,816,CompShg,2,CBlock,1Story,N,TA,816,0,1,5,CarPort,516,Y,110000,47
20,RL,50271,AllPub,Veenker,5,1842,WdShngl,0,CBlock,1Story,Y,TA,1842,1,1,5,Attchd,894,Y,385000,25
80,RL,7134,AllPub,NAmes,5,384,CompShg,3,CBlock,SLvl,Y,TA,1360,1,1,6,Detchd,572,Y,130000,52
20,RL,10175,AllPub,NAmes,5,1425,CompShg,3,CBlock,1Story,Y,TA,1425,1,1,7,Attchd,576,Y,180500,44
160,FV,2645,AllPub,Somerst,5,970,CompShg,3,PConc,2Story,Y,TA,1739,0,1,7,Attchd,480,Y,172500,10
60,RL,11645,AllPub,CollgCr,5,860,CompShg,3,PConc,2Story,Y,TA,1720,0,1,7,Attchd,565,Y,196500,2
60,RL,13682,AllPub,StoneBr,5,1410,CompShg,3,PConc,2Story,Y,TA,2945,1,1,10,BuiltIn,641,Y,438780,0
20,RL,7200,AllPub,CollgCr,7,780,CompShg,2,CBlock,1Story,Y,TA,780,0,1,4,Detchd,352,Y,124900,36
20,RL,13072,AllPub,SawyerW,5,1158,CompShg,3,PConc,1Story,Y,TA,1158,0,1,5,Detchd,576,Y,158000,2
75,RM,7200,AllPub,IDOTRR,7,530,CompShg,3,BrkTil,2.5Unf,N,TA,1111,0,1,6,Detchd,288,N,101000,87
120,RL,6442,AllPub,NridgHt,5,1370,CompShg,2,PConc,1Story,Y,TA,1370,1,1,6,Attchd,484,Y,202500,1
70,RM,10300,AllPub,OldTown,6,576,CompShg,3,BrkTil,2Story,Y,TA,1710,0,1,9,Detchd,480,Y,140000,89
60,RL,9375,AllPub,CollgCr,5,1057,CompShg,3,PConc,2Story,Y,TA,2034,0,1,8,Attchd,645,Y,219500,12
60,RL,9591,AllPub,NridgHt,5,1143,CompShg,4,PConc,2Story,Y,TA,2473,1,1,9,BuiltIn,852,Y,317000,3
20,RL,19900,AllPub,NAmes,5,1947,CompShg,3,CBlock,1Story,Y,TA,2207,1,1,7,Attchd,576,Y,180000,40
20,RL,10665,AllPub,CollgCr,5,1453,CompShg,3,PConc,1Story,Y,TA,1479,0,1,7,Attchd,558,Y,226000,4
30,RM,4608,AllPub,OldTown,6,747,CompShg,2,CBlock,1Story,Y,Gd,747,0,1,4,Attchd,220,Y,80000,65
50,RL,15593,AllPub,ClearCr,4,1304,CompShg,3,CBlock,1.5Fin,Y,TA,2287,1,1,7,Attchd,667,Y,225000,53
20,RL,13651,AllPub,NAmes,6,2223,CompShg,3,CBlock,1Story,Y,Gd,2223,2,1,8,Attchd,516,Y,244000,34
20,RL,7599,AllPub,Mitchel,6,845,CompShg,2,CBlock,1Story,Y,TA,845,0,1,4,Detchd,360,Y,129500,25
60,RL,10141,AllPub,Gilbert,5,832,CompShg,3,PConc,2Story,Y,TA,1718,1,1,7,Attchd,427,Y,185000,11
20,RL,10200,AllPub,NAmes,7,1086,CompShg,3,CBlock,1Story,Y,TA,1086,0,1,6,Attchd,490,Y,144900,56
50,RM,5790,AllPub,OldTown,6,840,CompShg,3,CBlock,2Story,N,Gd,1605,0,2,8,Detchd,379,Y,107400,95
180,RM,1596,AllPub,MeadowV,5,462,CompShg,2,CBlock,SLvl,Y,TA,988,0,1,5,BuiltIn,297,Y,91000,36
20,RL,8475,AllPub,NAmes,7,952,CompShg,2,CBlock,1Story,Y,TA,952,0,1,4,Detchd,283,Y,135750,52
50,RM,8635,AllPub,BrkSide,5,672,CompShg,2,CBlock,1.5Fin,Y,TA,1285,0,1,6,Detchd,240,Y,127000,60
90,RL,10778,AllPub,Sawyer,5,1768,CompShg,4,CBlock,1Story,N,TA,1768,0,2,8,,0,Y,136500,42
50,RM,10440,AllPub,OldTown,6,440,CompShg,2,PConc,2Story,Y,TA,1230,0,1,5,Detchd,440,Y,110000,99
60,RL,13000,AllPub,NAmes,6,896,CompShg,4,CBlock,2Story,Y,Gd,2142,1,1,8,Attchd,509,Y,193500,41
120,RM,4500,AllPub,Mitchel,5,1237,CompShg,2,PConc,1Story,Y,Gd,1337,0,1,5,Attchd,405,Y,153500,8
20,RL,10206,AllPub,Somerst,5,1563,CompShg,3,PConc,1Story,Y,TA,1563,1,1,6,Attchd,758,Y,245000,1
20,RL,8892,AllPub,NAmes,5,1065,CompShg,3,CBlock,1Story,Y,TA,1065,0,1,6,Detchd,461,Y,126500,47
80,RL,8530,AllPub,Gilbert,5,384,CompShg,3,PConc,SLvl,Y,TA,1474,1,1,7,BuiltIn,400,Y,168500,14
60,RL,16059,AllPub,NoRidge,5,1288,CompShg,4,CBlock,2Story,Y,TA,2417,1,1,9,Attchd,462,Y,260000,15
60,RL,11911,AllPub,Gilbert,5,684,CompShg,3,PConc,2Story,Y,TA,1560,1,1,6,BuiltIn,400,Y,174000,4
160,FV,3951,AllPub,Somerst,5,612,CompShg,2,PConc,2Story,Y,TA,1224,0,1,4,Detchd,528,Y,164500,0
50,C (all),8470,AllPub,IDOTRR,2,1013,CompShg,2,CBlock,1.5Fin,N,Fa,1526,0,1,6,,0,N,85000,94
20,RL,8070,AllPub,CollgCr,5,990,CompShg,3,PConc,1Story,Y,TA,990,0,1,5,,0,Y,123600,13
20,RL,7200,AllPub,NAmes,5,0,CompShg,2,Slab,1Story,Y,TA,1040,0,1,4,Detchd,420,Y,109900,56
20,RL,8500,AllPub,NAmes,3,1235,CompShg,2,CBlock,1Story,Y,TA,1235,0,1,6,Attchd,480,Y,98600,45
30,RL,13360,AllPub,Crawfor,7,876,CompShg,2,BrkTil,1Story,Y,Gd,964,0,1,5,Detchd,432,Y,163500,88
190,C (all),7200,AllPub,OldTown,6,1214,CompShg,4,BrkTil,2.5Unf,N,TA,2291,1,2,9,Detchd,506,Y,133900,97
60,RL,9337,AllPub,CollgCr,5,824,CompShg,3,PConc,2Story,Y,Gd,1786,0,1,7,Attchd,684,Y,204750,10
60,RL,9765,AllPub,Gilbert,8,680,CompShg,3,PConc,2Story,Y,Gd,1470,1,1,6,BuiltIn,420,Y,185000,16
20,RL,10264,AllPub,CollgCr,5,1588,CompShg,3,PConc,1Story,Y,TA,1588,0,1,6,Attchd,472,Y,214000,7
20,RL,10921,AllPub,Edwards,5,960,CompShg,3,CBlock,1Story,Y,TA,960,0,1,6,Attchd,432,P,94750,42
30,RL,10625,AllPub,Edwards,5,458,CompShg,2,BrkTil,1Story,N,TA,835,0,1,5,Basment,366,Y,83000,90
20,RL,9320,AllPub,NAmes,5,950,CompShg,3,CBlock,1Story,Y,TA,1225,0,1,6,,0,Y,128950,51
20,RL,10603,AllPub,NWAmes,7,1610,CompShg,3,PConc,1Story,Y,TA,1610,2,1,6,Attchd,480,Y,205000,33
60,RL,9206,AllPub,SawyerW,5,741,CompShg,3,CBlock,2Story,Y,TA,1732,1,1,7,Attchd,476,Y,178000,25
90,RL,7018,AllPub,SawyerW,5,0,CompShg,4,Slab,1Story,Y,Fa,1535,0,2,8,Attchd,410,Y,118964,30
20,RL,10402,AllPub,CollgCr,5,1226,CompShg,3,PConc,1Story,Y,TA,1226,0,1,6,Attchd,740,Y,198900,1
50,RM,7758,AllPub,IDOTRR,4,1040,CompShg,4,PConc,1.5Fin,Y,Fa,1818,2,1,7,Detchd,240,Y,169500,76
60,FV,9375,AllPub,Somerst,5,1053,CompShg,3,PConc,2Story,Y,TA,1992,1,1,9,Attchd,648,Y,250000,5
30,RM,10800,AllPub,OldTown,7,641,CompShg,2,BrkTil,1Story,Y,TA,1047,0,1,6,Detchd,273,N,100000,122
20,RM,6000,AllPub,OldTown,5,789,CompShg,2,CBlock,1Story,Y,TA,789,0,1,5,Detchd,250,Y,115000,60
50,RM,8500,AllPub,IDOTRR,7,793,CompShg,3,CBlock,1.5Fin,N,TA,1517,0,1,7,,0,N,115000,88
20,RL,11751,AllPub,NWAmes,6,1844,CompShg,3,CBlock,1Story,Y,TA,1844,1,1,7,Attchd,546,Y,190000,33
50,RL,9525,AllPub,Edwards,4,994,CompShg,4,CBlock,1.5Fin,Y,TA,1855,0,1,7,Attchd,325,Y,136900,52
80,RL,7750,AllPub,Gilbert,5,384,CompShg,3,PConc,SLvl,Y,TA,1430,1,1,7,BuiltIn,400,Y,180000,10
60,RL,9965,AllPub,CollgCr,5,1264,CompShg,4,PConc,2Story,Y,TA,2696,1,1,10,BuiltIn,792,Y,383970,0
20,RL,21000,AllPub,Crawfor,5,1809,CompShg,3,CBlock,1Story,Y,Gd,2259,2,1,7,Basment,450,Y,217000,54
70,RL,7259,AllPub,Crawfor,8,1028,CompShg,3,CBlock,2Story,Y,TA,2320,1,1,9,Detchd,180,Y,259500,62
160,FV,3230,AllPub,Somerst,5,729,CompShg,2,PConc,2Story,Y,TA,1458,1,1,5,Detchd,440,Y,176000,8
20,RL,11616,AllPub,Sawyer,5,1092,CompShg,3,CBlock,1Story,Y,TA,1092,1,1,6,Attchd,288,Y,139000,47
20,RL,8536,AllPub,Edwards,5,1125,CompShg,2,PConc,1Story,Y,TA,1125,0,1,5,Attchd,430,Y,155000,1
60,RL,12376,AllPub,SawyerW,5,1673,CompShg,5,PConc,2Story,Y,TA,3222,2,1,11,Attchd,594,Y,320000,20
60,RL,8461,AllPub,CollgCr,5,728,CompShg,3,PConc,2Story,Y,TA,1456,1,1,8,Attchd,390,Y,163990,1
80,RL,21453,AllPub,ClearCr,5,938,Metal,1,CBlock,SLvl,Y,TA,988,2,1,4,Attchd,540,Y,180000,37
50,RM,6060,AllPub,IDOTRR,5,732,CompShg,3,PConc,1.5Fin,Y,TA,1123,0,1,4,Detchd,264,P,100000,68
20,RL,9464,AllPub,NAmes,7,1080,CompShg,3,CBlock,1Story,Y,Gd,1080,0,1,5,Attchd,288,Y,136000,50
120,RL,7892,AllPub,SawyerW,5,1199,CompShg,2,PConc,1Story,Y,TA,1199,0,1,5,Attchd,530,Y,153900,15
20,RL,17043,AllPub,NWAmes,5,1362,CompShg,3,CBlock,1Story,Y,Gd,1586,1,1,7,Attchd,435,Y,181000,30
190,RM,6780,AllPub,IDOTRR,8,520,CompShg,2,CBlock,1.5Fin,N,Fa,754,0,1,5,,0,N,84500,71
120,RL,4928,AllPub,NPkVill,5,1078,CompShg,2,CBlock,1Story,Y,TA,958,1,1,5,Attchd,440,Y,128000,31
45,RM,4388,AllPub,OldTown,7,672,CompShg,3,BrkTil,1.5Unf,Y,Gd,840,1,1,5,,0,N,87000,77
60,RL,7590,AllPub,NAmes,5,660,CompShg,3,CBlock,2Story,Y,TA,1348,1,1,6,Attchd,453,Y,155000,40
20,RL,8973,AllPub,NAmes,7,1008,CompShg,3,CBlock,1Story,Y,TA,1053,0,1,6,2Types,750,Y,150000,48
60,RL,14200,AllPub,NAmes,6,924,CompShg,4,CBlock,2Story,Y,TA,2157,2,1,8,Attchd,487,Y,226000,40
60,RL,12224,AllPub,Gilbert,5,992,CompShg,3,PConc,2Story,Y,TA,2054,1,1,7,BuiltIn,390,Y,244000,9
20,RL,7388,AllPub,NAmes,6,1063,CompShg,3,CBlock,1Story,Y,TA,1327,0,1,7,Detchd,624,Y,150750,48
20,RL,6853,AllPub,Timber,5,1267,CompShg,2,PConc,1Story,Y,TA,1296,0,1,6,Attchd,471,Y,220000,8
20,RL,10335,AllPub,Sawyer,6,1461,CompShg,3,CBlock,1Story,Y,TA,1721,1,1,7,Attchd,440,Y,180000,38
20,RL,10400,AllPub,NWAmes,6,1304,CompShg,3,PConc,1Story,Y,TA,1682,1,1,7,Attchd,530,Y,174000,38
20,RL,10355,AllPub,NAmes,5,1214,CompShg,3,CBlock,1Story,Y,TA,1214,1,1,5,Attchd,318,Y,143000,40
90,RL,11070,AllPub,Mitchel,5,1907,CompShg,5,CBlock,1Story,Y,TA,1959,0,2,9,2Types,766,Y,171000,18
60,RL,9066,AllPub,CollgCr,5,1004,CompShg,3,PConc,2Story,Y,TA,1852,2,1,7,Attchd,660,Y,230000,9
60,RL,15426,AllPub,CollgCr,5,928,CompShg,3,PConc,2Story,Y,TA,1764,0,1,7,Attchd,470,Y,231500,12
20,RL,10500,AllPub,NAmes,5,864,CompShg,3,CBlock,1Story,Y,TA,864,1,1,5,,0,Y,115000,39
20,RL,11645,AllPub,CollgCr,5,1734,CompShg,3,PConc,1Story,Y,TA,1734,0,1,7,Attchd,660,Y,260000,1
50,RL,8520,AllPub,NAmes,4,910,CompShg,4,CBlock,1.5Fin,Y,Fa,1385,0,1,6,Detchd,720,Y,166000,58
20,RL,10335,AllPub,CollgCr,5,1490,CompShg,3,PConc,1Story,Y,TA,1501,0,1,6,Attchd,577,Y,204000,10
90,RM,9100,AllPub,Sawyer,5,1728,CompShg,6,CBlock,1Story,Y,TA,1728,0,2,10,Detchd,504,Y,125000,43
160,RM,2522,AllPub,Edwards,5,970,CompShg,3,PConc,2Story,Y,TA,1709,0,1,7,Detchd,380,Y,130000,2
30,RM,6120,AllPub,BrkSide,7,715,CompShg,2,BrkTil,1Story,Y,TA,875,0,1,5,Detchd,180,Y,105000,78
60,RL,9505,AllPub,Gilbert,5,884,CompShg,3,PConc,2Story,Y,TA,2035,1,1,8,BuiltIn,434,Y,222500,9
20,RL,7500,AllPub,SawyerW,5,1080,CompShg,3,PConc,1Story,Y,TA,1080,0,1,6,,0,Y,141000,4
50,RM,6240,AllPub,BrkSide,4,896,CompShg,3,BrkTil,1.5Fin,Y,TA,1344,0,1,7,Detchd,240,Y,115000,70
20,RL,10356,AllPub,CollgCr,6,969,CompShg,3,CBlock,1Story,Y,TA,969,0,1,5,Attchd,440,Y,122000,32
20,RL,13891,AllPub,NridgHt,5,1710,CompShg,2,PConc,1Story,Y,TA,1710,1,1,6,Attchd,866,Y,372402,1
60,RL,14803,AllPub,NWAmes,5,825,CompShg,4,CBlock,2Story,Y,TA,1993,1,1,8,Attchd,495,Y,190000,35
20,RL,13500,AllPub,ClearCr,7,1602,CompShg,1,CBlock,1Story,Y,TA,1252,1,1,4,Attchd,564,Y,235000,48
30,RM,11340,AllPub,OldTown,5,1200,CompShg,4,BrkTil,1Story,Y,TA,1200,0,1,7,Detchd,312,Y,125000,83
50,RL,9600,AllPub,Edwards,5,572,CompShg,2,BrkTil,1.5Fin,N,TA,1096,0,1,5,,0,N,79000,84
20,RL,7200,AllPub,NAmes,7,0,CompShg,2,CBlock,1Story,Y,TA,1040,0,1,5,Detchd,625,Y,109500,56
60,RL,12003,AllPub,Timber,5,774,CompShg,4,PConc,2Story,Y,TA,1968,1,1,8,BuiltIn,680,Y,269500,1
60,FV,12552,AllPub,Somerst,5,991,CompShg,3,PConc,2Story,Y,TA,1947,1,1,8,Attchd,678,Y,254900,6
60,RL,19378,AllPub,Gilbert,5,1392,CompShg,4,PConc,2Story,Y,TA,2462,1,1,9,Attchd,576,Y,320000,1
20,RL,11120,AllPub,Veenker,6,1232,CompShg,3,PConc,1Story,Y,TA,1232,0,1,6,Attchd,516,Y,162500,24
60,RL,13688,AllPub,NridgHt,5,1572,CompShg,3,PConc,2Story,Y,TA,2668,2,1,10,BuiltIn,726,Y,412500,5
20,RL,12182,AllPub,NridgHt,5,1541,CompShg,3,PConc,1Story,Y,TA,1541,1,1,7,Attchd,532,Y,220000,5
45,RL,5500,AllPub,OldTown,6,882,CompShg,1,CBlock,1.5Unf,Y,TA,882,0,1,4,,0,Y,103200,51
40,RM,5400,AllPub,OldTown,7,1149,CompShg,3,BrkTil,1Story,Y,Gd,1616,0,1,5,Detchd,216,Y,152000,81
190,RL,10106,AllPub,Edwards,7,644,CompShg,4,BrkTil,1.5Fin,Y,Gd,1355,0,2,6,,0,Y,127500,68
20,RL,10708,AllPub,ClearCr,5,1617,CompShg,2,CBlock,1Story,Y,TA,1867,3,1,7,Attchd,303,Y,190000,54
60,RL,10562,AllPub,NridgHt,5,1582,CompShg,3,PConc,2Story,Y,TA,2161,1,1,8,Attchd,789,Y,325624,0
60,RL,8244,AllPub,Gilbert,5,840,CompShg,3,PConc,2Story,Y,TA,1720,1,1,7,Attchd,440,Y,183500,3
20,RL,16669,AllPub,Timber,6,1686,WdShake,2,CBlock,1Story,Y,TA,1707,1,1,6,Attchd,511,Y,228000,25
50,RM,12358,AllPub,OldTown,6,720,CompShg,2,CBlock,1.5Fin,Y,TA,1382,0,1,7,Detchd,660,Y,128500,66
20,RL,31770,AllPub,NAmes,5,1080,CompShg,3,CBlock,1Story,Y,TA,1656,2,1,7,Attchd,528,P,215000,50
160,RL,5306,AllPub,StoneBr,7,1064,CompShg,2,PConc,2Story,Y,Gd,1767,1,1,5,Attchd,504,Y,239000,19
20,RL,10197,AllPub,NAmes,5,1362,CompShg,3,CBlock,1Story,Y,TA,1362,1,1,6,Attchd,504,Y,163000,47
20,RL,12416,AllPub,Timber,5,1606,CompShg,3,CBlock,1Story,Y,TA,1651,1,1,7,Attchd,616,Y,184000,22
20,RL,12615,AllPub,Edwards,7,1202,CompShg,4,CBlock,1Story,Y,TA,2158,1,1,7,Attchd,576,Y,243000,57
60,RL,10029,AllPub,ClearCr,5,1151,CompShg,4,PConc,2Story,Y,TA,2060,1,1,8,Attchd,521,Y,211000,19
50,RL,13650,AllPub,Sawyer,5,1052,CompShg,4,CBlock,1.5Fin,Y,Gd,1920,1,1,8,Attchd,451,Y,172500,48
20,RL,17423,AllPub,StoneBr,5,2216,CompShg,1,PConc,1Story,Y,TA,2234,1,1,9,Attchd,1166,Y,501837,1
30,RM,8520,AllPub,OldTown,6,968,CompShg,2,CBlock,1Story,Y,TA,968,0,1,5,Detchd,480,N,100000,84
160,FV,2117,AllPub,Somerst,5,756,CompShg,3,PConc,2Story,Y,TA,1525,1,1,5,Detchd,440,Y,177000,7
70,RL,7588,AllPub,Crawfor,6,793,CompShg,4,BrkTil,2Story,Y,TA,1802,1,1,9,Detchd,216,Y,200100,86
20,RL,9060,AllPub,Edwards,6,0,CompShg,3,PConc,1Story,Y,TA,1340,1,1,7,Attchd,252,Y,120000,50
50,RM,11426,AllPub,OldTown,5,1362,CompShg,3,PConc,1.5Fin,Y,TA,2082,0,1,6,Detchd,484,N,200000,5
50,RL,7438,AllPub,BrkSide,8,504,CompShg,3,PConc,1.5Fin,Y,TA,1252,0,1,5,Attchd,576,Y,127000,98
75,RM,22950,AllPub,OldTown,9,1107,WdShngl,4,BrkTil,2.5Fin,Y,Gd,3608,2,1,12,Detchd,840,Y,475000,114
80,RL,9947,AllPub,Mitchel,5,1188,CompShg,3,PConc,SLvl,Y,TA,1217,0,1,6,Attchd,497,Y,173000,19
50,RL,10410,AllPub,OldTown,7,660,CompShg,3,CBlock,1.5Fin,Y,TA,1656,0,1,8,Detchd,180,N,135000,93
90,RL,7018,AllPub,SawyerW,5,1086,CompShg,2,CBlock,SFoyer,Y,TA,1224,2,2,6,Detchd,528,Y,153337,30
120,RL,4923,AllPub,StoneBr,5,1593,CompShg,0,PConc,1Story,Y,TA,1593,1,1,5,Attchd,682,Y,286000,7
70,RL,10570,AllPub,Crawfor,8,853,CompShg,3,CBlock,2Story,Y,TA,2727,2,1,10,Detchd,440,Y,315000,75
60,RL,7472,AllPub,NAmes,9,725,CompShg,4,CBlock,2Story,Y,TA,1479,0,1,7,Attchd,484,Y,184000,35
20,RL,9017,AllPub,CollgCr,5,1431,CompShg,3,PConc,1Story,Y,TA,1431,0,1,6,Attchd,666,Y,192000,10
160,RM,2522,AllPub,Edwards,5,970,CompShg,3,PConc,2Story,Y,TA,1709,0,1,7,Detchd,380,Y,130000,2
20,RL,7180,AllPub,CollgCr,7,864,CompShg,3,CBlock,1Story,Y,TA,864,0,1,5,Detchd,352,Y,127000,36
160,RL,2280,AllPub,NPkVill,6,855,CompShg,3,CBlock,2Story,Y,TA,1456,1,1,7,Attchd,440,Y,148500,33
20,RL,9416,AllPub,Somerst,5,1726,CompShg,3,PConc,1Story,Y,TA,1726,1,1,8,Attchd,786,Y,311872,0
75,RL,25419,AllPub,NAmes,4,1360,CompShg,4,PConc,2Story,Y,Gd,3112,1,1,8,Detchd,795,Y,235000,88
