MSSubClass,MSZoning,LotArea,Utilities,Neighborhood,OverallCond,RoofMatl,Exterior1st,ExterCond,Foundation,TotalBsmtSF,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageArea,PavedDrive,SaleType,SalePrice,Age
50,RL,12822,AllPub,Mitchel,5,CompShg,VinylSd,TA,PConc,1434,Y,2149,1,1,1,1,6,670,Y,WD,239686,6
20,FV,11096,AllPub,Somerst,5,CompShg,VinylSd,TA,PConc,1656,Y,1656,2,0,3,1,7,826,Y,WD,249700,1
190,RM,4456,AllPub,OldTown,5,CompShg,MetalSd,TA,BrkTil,736,Y,1452,2,0,2,3,8,0,N,New,113000,89
20,RL,7742,AllPub,Sawyer,7,CompShg,HdBoard,TA,CBlock,955,Y,955,1,0,3,1,6,386,Y,WD,127000,41
60,RL,13869,AllPub,Gilbert,6,CompShg,VinylSd,TA,PConc,794,Y,1470,2,0,3,1,6,388,Y,WD,177000,10
50,RM,6240,AllPub,BrkSide,6,CompShg,Wd Sdng,TA,PConc,816,Y,1176,1,0,3,1,6,528,Y,WD,114500,72
90,RM,8472,AllPub,IDOTRR,5,CompShg,Wd Sdng,TA,CBlock,816,N,816,1,0,2,1,5,516,Y,WD,110000,47
20,RL,50271,AllPub,Veenker,5,WdShngl,WdShing,TA,CBlock,1842,Y,1842,0,1,0,1,5,894,Y,WD,385000,25
80,RL,7134,AllPub,NAmes,5,CompShg,MetalSd,TA,CBlock,384,Y,1360,1,0,3,1,6,572,Y,WD,130000,52
20,RL,10175,AllPub,NAmes,5,CompShg,HdBoard,TA,CBlock,1425,Y,1425,2,0,3,1,7,576,Y,WD,180500,44
160,FV,2645,AllPub,Somerst,5,CompShg,MetalSd,TA,PConc,970,Y,1739,2,1,3,1,7,480,Y,WD,172500,10
60,RL,11645,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,860,Y,1720,2,1,3,1,7,565,Y,WD,196500,2
60,RL,13682,AllPub,StoneBr,5,CompShg,VinylSd,TA,PConc,1410,Y,2945,3,1,3,1,10,641,Y,New,438780,0
20,RL,7200,AllPub,CollgCr,7,CompShg,HdBoard,TA,CBlock,780,Y,780,1,0,2,1,4,352,Y,WD,124900,36
20,RL,13072,AllPub,SawyerW,5,CompShg,VinylSd,TA,PConc,1158,Y,1158,1,1,3,1,5,576,Y,New,158000,2
75,RM,7200,AllPub,IDOTRR,7,CompShg,MetalSd,TA,BrkTil,530,N,1111,1,0,3,1,6,288,N,WD,101000,87
120,RL,6442,AllPub,NridgHt,5,CompShg,VinylSd,TA,PConc,1370,Y,1370,2,0,2,1,6,484,Y,WD,202500,1
70,RM,10300,AllPub,OldTown,6,CompShg,Stucco,TA,BrkTil,576,Y,1710,2,0,3,1,9,480,Y,WD,140000,89
60,RL,9375,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,1057,Y,2034,2,1,3,1,8,645,Y,WD,219500,12
60,RL,9591,AllPub,NridgHt,5,CompShg,VinylSd,TA,PConc,1143,Y,2473,2,1,4,1,9,852,Y,WD,317000,3
20,RL,19900,AllPub,NAmes,5,CompShg,Plywood,TA,CBlock,1947,Y,2207,2,0,3,1,7,576,Y,WD,180000,40
20,RL,10665,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,1453,Y,1479,2,0,3,1,7,558,Y,WD,226000,4
30,RM,4608,AllPub,OldTown,6,CompShg,MetalSd,Gd,CBlock,747,Y,747,1,0,2,1,4,220,Y,WD,80000,65
50,RL,15593,AllPub,ClearCr,4,CompShg,BrkFace,TA,CBlock,1304,Y,2287,2,0,3,1,7,667,Y,WD,225000,53
20,RL,13651,AllPub,NAmes,6,CompShg,Plywood,Gd,CBlock,2223,Y,2223,2,0,3,1,8,516,Y,WD,244000,34
20,RL,7599,AllPub,Mitchel,6,CompShg,HdBoard,TA,CBlock,845,Y,845,1,0,2,1,4,360,Y,WD,129500,25
60,RL,10141,AllPub,Gilbert,5,CompShg,VinylSd,TA,PConc,832,Y,1718,2,1,3,1,7,427,Y,WD,185000,11
20,RL,10200,AllPub,NAmes,7,CompShg,Wd Sdng,TA,CBlock,1086,Y,1086,1,0,3,1,6,490,Y,WD,144900,56
50,RM,5790,AllPub,OldTown,6,CompShg,VinylSd,Gd,CBlock,840,N,1605,2,0,3,2,8,379,Y,WD,107400,95
180,RM,1596,AllPub,MeadowV,5,CompShg,CemntBd,TA,CBlock,462,Y,988,1,0,2,1,5,297,Y,WD,91000,36
20,RL,8475,AllPub,NAmes,7,CompShg,VinylSd,TA,CBlock,952,Y,952,1,0,2,1,4,283,Y,WD,135750,52
50,RM,8635,AllPub,BrkSide,5,CompShg,Wd Sdng,TA,CBlock,672,Y,1285,1,0,2,1,6,240,Y,WD,127000,60
90,RL,10778,AllPub,Sawyer,5,CompShg,HdBoard,TA,CBlock,1768,N,1768,2,0,4,2,8,0,Y,WD,136500,42
50,RM,10440,AllPub,OldTown,6,CompShg,Wd Sdng,TA,PConc,440,Y,1230,1,1,2,1,5,440,Y,WD,110000,99
60,RL,13000,AllPub,NAmes,6,CompShg,VinylSd,Gd,CBlock,896,Y,2142,2,1,4,1,8,509,Y,WD,193500,41
120,RM,4500,AllPub,Mitchel,5,CompShg,VinylSd,Gd,PConc,1237,Y,1337,2,0,2,1,5,405,Y,WD,153500,8
20,RL,10206,AllPub,Somerst,5,CompShg,VinylSd,TA,PConc,1563,Y,1563,2,0,3,1,6,758,Y,WD,245000,1
20,RL,8892,AllPub,NAmes,5,CompShg,MetalSd,TA,CBlock,1065,Y,1065,1,1,3,1,6,461,Y,COD,126500,47
80,RL,8530,AllPub,Gilbert,5,CompShg,HdBoard,TA,PConc,384,Y,1474,2,1,3,1,7,400,Y,WD,168500,14
60,RL,16059,AllPub,NoRidge,5,CompShg,HdBoard,TA,CBlock,1288,Y,2417,2,1,4,1,9,462,Y,WD,260000,15
60,RL,11911,AllPub,Gilbert,5,CompShg,VinylSd,TA,PConc,684,Y,1560,2,1,3,1,6,400,Y,WD,174000,4
160,FV,3951,AllPub,Somerst,5,CompShg,VinylSd,TA,PConc,612,Y,1224,2,1,2,1,4,528,Y,New,164500,0
50,C (all),8470,AllPub,IDOTRR,2,CompShg,Plywood,Fa,CBlock,1013,N,1526,1,0,2,1,6,0,N,ConLD,85000,94
20,RL,8070,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,990,Y,990,1,0,3,1,5,0,Y,WD,123600,13
20,RL,7200,AllPub,NAmes,5,CompShg,BrkFace,TA,Slab,0,Y,1040,1,0,2,1,4,420,Y,WD,109900,56
20,RL,8500,AllPub,NAmes,3,CompShg,HdBoard,TA,CBlock,1235,Y,1235,1,0,2,1,6,480,Y,WD,98600,45
30,RL,13360,AllPub,Crawfor,7,CompShg,Wd Sdng,Gd,BrkTil,876,Y,964,1,0,2,1,5,432,Y,WD,163500,88
190,C (all),7200,AllPub,OldTown,6,CompShg,MetalSd,TA,BrkTil,1214,N,2291,2,0,4,2,9,506,Y,WD,133900,97
60,RL,9337,AllPub,CollgCr,5,CompShg,VinylSd,Gd,PConc,824,Y,1786,2,1,3,1,7,684,Y,WD,204750,10
60,RL,9765,AllPub,Gilbert,8,CompShg,VinylSd,Gd,PConc,680,Y,1470,2,1,3,1,6,420,Y,WD,185000,16
20,RL,10264,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,1588,Y,1588,2,0,3,1,6,472,Y,WD,214000,7
20,RL,10921,AllPub,Edwards,5,CompShg,HdBoard,TA,CBlock,960,Y,960,1,0,3,1,6,432,P,WD,94750,42
30,RL,10625,AllPub,Edwards,5,CompShg,Wd Sdng,TA,BrkTil,458,N,835,1,0,2,1,5,366,Y,COD,83000,90
20,RL,9320,AllPub,NAmes,5,CompShg,Plywood,TA,CBlock,950,Y,1225,1,1,3,1,6,0,Y,WD,128950,51
20,RL,10603,AllPub,NWAmes,7,CompShg,Plywood,TA,PConc,1610,Y,1610,2,0,3,1,6,480,Y,WD,205000,33
60,RL,9206,AllPub,SawyerW,5,CompShg,HdBoard,TA,CBlock,741,Y,1732,2,1,3,1,7,476,Y,WD,178000,25
90,RL,7018,AllPub,SawyerW,5,CompShg,HdBoard,Fa,Slab,0,Y,1535,2,0,4,2,8,410,Y,WD,118964,30
20,RL,10402,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,1226,Y,1226,2,0,3,1,6,740,Y,WD,198900,1
50,RM,7758,AllPub,IDOTRR,4,CompShg,Stucco,Fa,PConc,1040,Y,1818,1,1,4,1,7,240,Y,WD,169500,76
60,FV,9375,AllPub,Somerst,5,CompShg,VinylSd,TA,PConc,1053,Y,1992,2,1,3,1,9,648,Y,WD,250000,5
30,RM,10800,AllPub,OldTown,7,CompShg,VinylSd,TA,BrkTil,641,Y,1047,1,0,2,1,6,273,N,WD,100000,122
20,RM,6000,AllPub,OldTown,5,CompShg,VinylSd,TA,CBlock,789,Y,789,1,0,2,1,5,250,Y,WD,115000,60
50,RM,8500,AllPub,IDOTRR,7,CompShg,CemntBd,TA,CBlock,793,N,1517,2,0,3,1,7,0,N,WD,115000,88
20,RL,11751,AllPub,NWAmes,6,CompShg,Plywood,TA,CBlock,1844,Y,1844,2,0,3,1,7,546,Y,COD,190000,33
50,RL,9525,AllPub,Edwards,4,CompShg,Wd Sdng,TA,CBlock,994,Y,1855,2,0,4,1,7,325,Y,WD,136900,52
80,RL,7750,AllPub,Gilbert,5,CompShg,VinylSd,TA,PConc,384,Y,1430,2,1,3,1,7,400,Y,WD,180000,10
60,RL,9965,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,1264,Y,2696,2,1,4,1,10,792,Y,New,383970,0
20,RL,21000,AllPub,Crawfor,5,CompShg,Wd Sdng,Gd,CBlock,1809,Y,2259,2,0,3,1,7,450,Y,COD,217000,54
70,RL,7259,AllPub,Crawfor,8,CompShg,Wd Sdng,TA,CBlock,1028,Y,2320,2,1,3,1,9,180,Y,WD,259500,62
160,FV,3230,AllPub,Somerst,5,CompShg,MetalSd,TA,PConc,729,Y,1458,2,1,2,1,5,440,Y,WD,176000,8
20,RL,11616,AllPub,Sawyer,5,CompShg,Wd Sdng,TA,CBlock,1092,Y,1092,1,0,3,1,6,288,Y,WD,139000,47
20,RL,8536,AllPub,Edwards,5,CompShg,VinylSd,TA,PConc,1125,Y,1125,1,1,2,1,5,430,Y,New,155000,1
60,RL,12376,AllPub,SawyerW,5,CompShg,Plywood,TA,PConc,1673,Y,3222,3,0,5,1,11,594,Y,WD,320000,20
60,RL,8461,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,728,Y,1456,2,1,3,1,8,390,Y,New,163990,1
80,RL,21453,AllPub,ClearCr,5,Metal,Plywood,TA,CBlock,938,Y,988,1,0,1,1,4,540,Y,WD,180000,37
50,RM,6060,AllPub,IDOTRR,5,CompShg,AsbShng,TA,PConc,732,Y,1123,1,0,3,1,4,264,P,WD,100000,68
20,RL,9464,AllPub,NAmes,7,CompShg,MetalSd,Gd,CBlock,1080,Y,1080,1,0,3,1,5,288,Y,WD,136000,50
120,RL,7892,AllPub,SawyerW,5,CompShg,Plywood,TA,PConc,1199,Y,1199,2,0,2,1,5,530,Y,WD,153900,15
20,RL,17043,AllPub,NWAmes,5,CompShg,HdBoard,Gd,CBlock,1362,Y,1586,2,0,3,1,7,435,Y,WD,181000,30
190,RM,6780,AllPub,IDOTRR,8,CompShg,Wd Sdng,Fa,CBlock,520,N,754,1,0,2,1,5,0,N,WD,84500,71
120,RL,4928,AllPub,NPkVill,5,CompShg,Plywood,TA,CBlock,1078,Y,958,2,0,2,1,5,440,Y,WD,128000,31
45,RM,4388,AllPub,OldTown,7,CompShg,WdShing,Gd,BrkTil,672,Y,840,1,0,3,1,5,0,N,WD,87000,77
60,RL,7590,AllPub,NAmes,5,CompShg,VinylSd,TA,CBlock,660,Y,1348,1,1,3,1,6,453,Y,WD,155000,40
20,RL,8973,AllPub,NAmes,7,CompShg,Plywood,TA,CBlock,1008,Y,1053,1,1,3,1,6,750,Y,WD,150000,48
60,RL,14200,AllPub,NAmes,6,CompShg,MetalSd,TA,CBlock,924,Y,2157,2,1,4,1,8,487,Y,WD,226000,40
60,RL,12224,AllPub,Gilbert,5,CompShg,VinylSd,TA,PConc,992,Y,2054,2,1,3,1,7,390,Y,WD,244000,9
20,RL,7388,AllPub,NAmes,6,CompShg,MetalSd,TA,CBlock,1063,Y,1327,1,0,3,1,7,624,Y,WD,150750,48
20,RL,6853,AllPub,Timber,5,CompShg,VinylSd,TA,PConc,1267,Y,1296,2,0,2,1,6,471,Y,WD,220000,8
20,RL,10335,AllPub,Sawyer,6,CompShg,Plywood,TA,CBlock,1461,Y,1721,2,1,3,1,7,440,Y,WD,180000,38
20,RL,10400,AllPub,NWAmes,6,CompShg,Plywood,TA,PConc,1304,Y,1682,2,0,3,1,7,530,Y,WD,174000,38
20,RL,10355,AllPub,NAmes,5,CompShg,MetalSd,TA,CBlock,1214,Y,1214,2,0,3,1,5,318,Y,WD,143000,40
90,RL,11070,AllPub,Mitchel,5,CompShg,VinylSd,TA,CBlock,1907,Y,1959,3,0,5,2,9,766,Y,WD,171000,18
60,RL,9066,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,1004,Y,1852,2,1,3,1,7,660,Y,WD,230000,9
60,RL,15426,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,928,Y,1764,2,1,3,1,7,470,Y,WD,231500,12
20,RL,10500,AllPub,NAmes,5,CompShg,HdBoard,TA,CBlock,864,Y,864,1,0,3,1,5,0,Y,ConLI,115000,39
20,RL,11645,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,1734,Y,1734,2,0,3,1,7,660,Y,WD,260000,1
50,RL,8520,AllPub,NAmes,4,CompShg,BrkFace,Fa,CBlock,910,Y,1385,2,0,4,1,6,720,Y,WD,166000,58
20,RL,10335,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,1490,Y,1501,2,0,3,1,6,577,Y,WD,204000,10
90,RM,9100,AllPub,Sawyer,5,CompShg,HdBoard,TA,CBlock,1728,Y,1728,2,0,6,2,10,504,Y,ConLI,125000,43
160,RM,2522,AllPub,Edwards,5,CompShg,VinylSd,TA,PConc,970,Y,1709,2,0,3,1,7,380,Y,WD,130000,2
30,RM,6120,AllPub,BrkSide,7,CompShg,Wd Sdng,TA,BrkTil,715,Y,875,1,0,2,1,5,180,Y,WD,105000,78
60,RL,9505,AllPub,Gilbert,5,CompShg,VinylSd,TA,PConc,884,Y,2035,2,1,3,1,8,434,Y,WD,222500,9
20,RL,7500,AllPub,SawyerW,5,CompShg,VinylSd,TA,PConc,1080,Y,1080,1,0,3,1,6,0,Y,WD,141000,4
50,RM,6240,AllPub,BrkSide,4,CompShg,MetalSd,TA,BrkTil,896,Y,1344,1,0,3,1,7,240,Y,WD,115000,70
20,RL,10356,AllPub,CollgCr,6,CompShg,HdBoard,TA,CBlock,969,Y,969,1,1,3,1,5,440,Y,WD,122000,32
20,RL,13891,AllPub,NridgHt,5,CompShg,VinylSd,TA,PConc,1710,Y,1710,2,0,2,1,6,866,Y,New,372402,1
60,RL,14803,AllPub,NWAmes,5,CompShg,HdBoard,TA,CBlock,825,Y,1993,2,1,4,1,8,495,Y,WD,190000,35
20,RL,13500,AllPub,ClearCr,7,CompShg,BrkFace,TA,CBlock,1602,Y,1252,1,0,1,1,4,564,Y,WD,235000,48
30,RM,11340,AllPub,OldTown,5,CompShg,Wd Sdng,TA,BrkTil,1200,Y,1200,1,0,4,1,7,312,Y,WD,125000,83
50,RL,9600,AllPub,Edwards,5,CompShg,Wd Sdng,TA,BrkTil,572,N,1096,1,0,2,1,5,0,N,WD,79000,84
20,RL,7200,AllPub,NAmes,7,CompShg,Wd Sdng,TA,CBlock,0,Y,1040,1,0,2,1,5,625,Y,WD,109500,56
60,RL,12003,AllPub,Timber,5,CompShg,VinylSd,TA,PConc,774,Y,1968,2,1,4,1,8,680,Y,New,269500,1
60,FV,12552,AllPub,Somerst,5,CompShg,VinylSd,TA,PConc,991,Y,1947,2,1,3,1,8,678,Y,WD,254900,6
60,RL,19378,AllPub,Gilbert,5,CompShg,VinylSd,TA,PConc,1392,Y,2462,2,1,4,1,9,576,Y,New,320000,1
20,RL,11120,AllPub,Veenker,6,CompShg,Plywood,TA,PConc,1232,Y,1232,2,0,3,1,6,516,Y,WD,162500,24
60,RL,13688,AllPub,NridgHt,5,CompShg,VinylSd,TA,PConc,1572,Y,2668,2,1,3,1,10,726,Y,WD,412500,5
20,RL,12182,AllPub,NridgHt,5,CompShg,VinylSd,TA,PConc,1541,Y,1541,2,0,3,1,7,532,Y,New,220000,5
45,RL,5500,AllPub,OldTown,6,CompShg,MetalSd,TA,CBlock,882,Y,882,1,0,1,1,4,0,Y,WD,103200,51
40,RM,5400,AllPub,OldTown,7,CompShg,MetalSd,Gd,BrkTil,1149,Y,1616,2,0,3,1,5,216,Y,WD,152000,81
190,RL,10106,AllPub,Edwards,7,CompShg,Wd Sdng,Gd,BrkTil,644,Y,1355,2,0,4,2,6,0,Y,WD,127500,68
20,RL,10708,AllPub,ClearCr,5,CompShg,Wd Sdng,TA,CBlock,1617,Y,1867,1,0,2,1,7,303,Y,COD,190000,54
60,RL,10562,AllPub,NridgHt,5,CompShg,VinylSd,TA,PConc,1582,Y,2161,1,1,3,1,8,789,Y,New,325624,0
60,RL,8244,AllPub,Gilbert,5,CompShg,VinylSd,TA,PConc,840,Y,1720,2,1,3,1,7,440,Y,WD,183500,3
20,RL,16669,AllPub,Timber,6,WdShake,Plywood,TA,CBlock,1686,Y,1707,2,1,2,1,6,511,Y,WD,228000,25
50,RM,12358,AllPub,OldTown,6,CompShg,MetalSd,TA,CBlock,720,Y,1382,1,1,2,1,7,660,Y,WD,128500,66
20,RL,31770,AllPub,NAmes,5,CompShg,BrkFace,TA,CBlock,1080,Y,1656,1,0,3,1,7,528,P,WD,215000,50
160,RL,5306,AllPub,StoneBr,7,CompShg,HdBoard,Gd,PConc,1064,Y,1767,2,0,2,1,5,504,Y,WD,239000,19
20,RL,10197,AllPub,NAmes,5,CompShg,WdShing,TA,CBlock,1362,Y,1362,1,1,3,1,6,504,Y,COD,163000,47
20,RL,12416,AllPub,Timber,5,CompShg,VinylSd,TA,CBlock,1606,Y,1651,2,0,3,1,7,616,Y,WD,184000,22
20,RL,12615,AllPub,Edwards,7,CompShg,WdShing,TA,CBlock,1202,Y,2158,2,0,4,1,7,576,Y,WD,243000,57
60,RL,10029,AllPub,ClearCr,5,CompShg,Plywood,TA,PConc,1151,Y,2060,2,1,4,1,8,521,Y,WD,211000,19
50,RL,13650,AllPub,Sawyer,5,CompShg,MetalSd,Gd,CBlock,1052,Y,1920,2,0,4,1,8,451,Y,WD,172500,48
20,RL,17423,AllPub,StoneBr,5,CompShg,VinylSd,TA,PConc,2216,Y,2234,2,0,1,1,9,1166,Y,New,501837,1
30,RM,8520,AllPub,OldTown,6,CompShg,Wd Sdng,TA,CBlock,968,Y,968,1,0,2,1,5,480,N,WD,100000,84
160,FV,2117,AllPub,Somerst,5,CompShg,MetalSd,TA,PConc,756,Y,1525,2,1,3,1,5,440,Y,WD,177000,7
70,RL,7588,AllPub,Crawfor,6,CompShg,Stucco,TA,BrkTil,793,Y,1802,1,1,4,1,9,216,Y,WD,200100,86
20,RL,9060,AllPub,Edwards,6,CompShg,Wd Sdng,TA,PConc,0,Y,1340,1,0,3,1,7,252,Y,WD,120000,50
50,RM,11426,AllPub,OldTown,5,CompShg,VinylSd,TA,PConc,1362,Y,2082,2,1,3,1,6,484,N,WD,200000,5
50,RL,7438,AllPub,BrkSide,8,CompShg,AsbShng,TA,PConc,504,Y,1252,1,0,3,1,5,576,Y,WD,127000,98
75,RM,22950,AllPub,OldTown,9,WdShngl,Wd Sdng,Gd,BrkTil,1107,Y,3608,2,1,4,1,12,840,Y,WD,475000,114
80,RL,9947,AllPub,Mitchel,5,CompShg,HdBoard,TA,PConc,1188,Y,1217,2,0,3,1,6,497,Y,WD,173000,19
50,RL,10410,AllPub,OldTown,7,CompShg,HdBoard,TA,CBlock,660,Y,1656,2,1,3,1,8,180,N,WD,135000,93
90,RL,7018,AllPub,SawyerW,5,CompShg,Plywood,TA,CBlock,1086,Y,1224,0,2,2,2,6,528,Y,WD,153337,30
120,RL,4923,AllPub,StoneBr,5,CompShg,CemntBd,TA,PConc,1593,Y,1593,1,1,0,1,5,682,Y,WD,286000,7
70,RL,10570,AllPub,Crawfor,8,CompShg,BrkFace,TA,CBlock,853,Y,2727,2,1,3,1,10,440,Y,WD,315000,75
60,RL,7472,AllPub,NAmes,9,CompShg,HdBoard,TA,CBlock,725,Y,1479,1,1,4,1,7,484,Y,WD,184000,35
20,RL,9017,AllPub,CollgCr,5,CompShg,VinylSd,TA,PConc,1431,Y,1431,2,0,3,1,6,666,Y,WD,192000,10
