MSSubClass,MSZoning,LotArea,Utilities,Neighborhood,OverallCond,YearBuilt,RoofMatl,Exterior1st,ExterCond,Foundation,TotalBsmtSF,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageType,GarageCars,GarageArea,PavedDrive,YrSold,SaleType,SalePrice
20,RL,10920,AllPub,NAmes,5,1960,CompShg,MetalSd,TA,CBlock,1253,Y,1253,1,1,2,1,5,Attchd,1,352,Y,2008,WD,157000
45,RM,6120,AllPub,BrkSide,8,1929,CompShg,Wd Sdng,TA,BrkTil,832,Y,854,1,0,2,1,5,Detchd,2,576,Y,2007,WD,132000
20,RL,11241,AllPub,NAmes,7,1970,CompShg,Wd Sdng,TA,CBlock,1004,Y,1004,1,0,2,1,5,Attchd,2,480,Y,2010,WD,149000
90,RL,10791,AllPub,Sawyer,5,1967,CompShg,MetalSd,TA,Slab,0,Y,1296,2,0,2,2,6,CarPort,2,516,Y,2006,WD,90000
20,RL,13695,AllPub,SawyerW,5,2004,CompShg,VinylSd,TA,PConc,1114,Y,1114,1,1,3,1,6,Detchd,2,576,Y,2008,WD,159000
20,RL,7560,AllPub,NAmes,6,1958,CompShg,BrkFace,TA,CBlock,1029,Y,1339,1,0,3,1,6,Attchd,1,294,Y,2009,COD,139000
60,RL,14215,AllPub,NridgHt,5,2005,CompShg,VinylSd,TA,PConc,1158,Y,2376,3,1,4,1,9,BuiltIn,3,853,Y,2006,New,325300
45,RM,7449,AllPub,IDOTRR,7,1930,CompShg,Wd Sdng,TA,PConc,637,Y,1108,1,0,3,1,6,Attchd,1,280,N,2007,WD,139400
20,RL,9742,AllPub,CollgCr,5,2002,CompShg,VinylSd,TA,PConc,1777,Y,1795,2,0,3,1,7,Attchd,2,534,Y,2008,WD,230000
120,RM,4224,AllPub,MeadowV,7,1976,CompShg,CemntBd,TA,PConc,1040,Y,1060,1,0,3,1,6,Attchd,2,572,Y,2007,WD,129900
20,RL,8246,AllPub,Sawyer,8,1968,CompShg,Plywood,Gd,CBlock,1060,Y,1060,1,0,3,1,6,Attchd,1,270,Y,2010,WD,154000
20,RL,14230,AllPub,NridgHt,5,2007,CompShg,VinylSd,TA,PConc,1566,Y,1600,2,0,3,1,7,Attchd,3,890,Y,2009,WD,256300
20,RL,7200,AllPub,NAmes,7,1951,CompShg,Wd Sdng,TA,CBlock,900,Y,900,1,0,3,1,5,Detchd,2,576,Y,2010,WD,134800
20,RL,11478,AllPub,NridgHt,5,2007,CompShg,VinylSd,TA,PConc,1704,Y,1704,2,0,3,1,7,Attchd,3,772,Y,2010,WD,306000
20,RL,16321,AllPub,NAmes,6,1957,CompShg,MetalSd,TA,CBlock,1484,Y,1600,1,0,2,1,6,Attchd,1,319,Y,2006,WD,207500
30,RM,6324,AllPub,BrkSide,6,1927,CompShg,MetalSd,TA,BrkTil,520,N,520,1,0,1,1,4,Detchd,1,240,Y,2008,WD,68500
70,C (all),8500,AllPub,IDOTRR,4,1920,CompShg,BrkFace,Fa,BrkTil,649,N,1317,1,0,3,1,6,Detchd,1,250,N,2008,WD,40000
20,RL,8544,AllPub,Sawyer,6,1966,CompShg,HdBoard,TA,CBlock,1228,Y,1228,1,1,3,1,6,Attchd,1,271,Y,2008,WD,149350
20,RL,11049,AllPub,CollgCr,5,2007,CompShg,VinylSd,TA,PConc,1234,Y,1234,2,0,3,1,7,Attchd,2,484,Y,2008,WD,179900
20,RL,10552,AllPub,NAmes,5,1959,CompShg,BrkFace,TA,CBlock,1398,Y,1700,1,1,4,1,6,Attchd,2,447,Y,2010,WD,165500
120,RL,7313,AllPub,NridgHt,5,2005,CompShg,MetalSd,TA,PConc,1561,Y,1561,2,0,2,1,6,Attchd,2,556,Y,2007,WD,277500
60,RL,13418,AllPub,NridgHt,5,2004,CompShg,VinylSd,TA,PConc,1117,Y,2452,3,1,4,1,9,BuiltIn,3,691,Y,2006,WD,309000
20,RL,10859,AllPub,CollgCr,5,1994,CompShg,VinylSd,TA,PConc,1097,Y,1097,1,1,3,1,6,Attchd,2,672,Y,2009,WD,145000
20,RL,8532,AllPub,NAmes,6,1954,CompShg,Wd Sdng,TA,CBlock,1297,Y,1297,1,0,3,1,5,Attchd,2,498,Y,2009,WD,153000
20,RL,7922,AllPub,NAmes,7,1953,CompShg,VinylSd,Gd,CBlock,1057,Y,1057,1,0,3,1,5,Detchd,1,246,Y,2010,WD,109000
90,RL,6040,AllPub,Edwards,5,1955,CompShg,AsbShng,TA,PConc,0,N,1152,2,0,2,2,6,,0,0,N,2008,WD,82000
20,RL,8658,AllPub,NAmes,5,1965,CompShg,Wd Sdng,TA,CBlock,1088,Y,1324,2,0,3,1,6,Attchd,2,440,Y,2006,WD,160000
20,RL,16905,AllPub,Timber,6,1959,CompShg,VinylSd,Gd,CBlock,1350,Y,1328,1,1,2,1,5,Attchd,1,308,P,2007,WD,170000
85,RL,9180,AllPub,SawyerW,7,1983,CompShg,HdBoard,TA,CBlock,840,Y,884,1,0,2,1,5,Attchd,2,504,Y,2007,WD,144000
20,RL,9200,AllPub,CollgCr,6,1975,CompShg,VinylSd,TA,CBlock,938,Y,938,1,0,3,1,5,Detchd,1,308,Y,2008,WD,130250
20,RL,7945,AllPub,NAmes,6,1959,CompShg,BrkFace,TA,CBlock,1150,Y,1150,1,0,3,1,6,Attchd,1,300,Y,2006,WD,141000
120,RL,7658,AllPub,NridgHt,5,2005,CompShg,MetalSd,TA,PConc,1752,Y,1752,2,0,2,1,6,Attchd,2,576,Y,2010,WD,319900
50,RL,12822,AllPub,Mitchel,5,2003,CompShg,VinylSd,TA,PConc,1434,Y,2149,1,1,1,1,6,Attchd,2,670,Y,2009,WD,239686
20,FV,11096,AllPub,Somerst,5,2006,CompShg,VinylSd,TA,PConc,1656,Y,1656,2,0,3,1,7,Attchd,3,826,Y,2007,WD,249700
190,RM,4456,AllPub,OldTown,5,1920,CompShg,MetalSd,TA,BrkTil,736,Y,1452,2,0,2,3,8,,0,0,N,2009,New,113000
20,RL,7742,AllPub,Sawyer,7,1966,CompShg,HdBoard,TA,CBlock,955,Y,955,1,0,3,1,6,Attchd,1,386,Y,2007,WD,127000
60,RL,13869,AllPub,Gilbert,6,1997,CompShg,VinylSd,TA,PConc,794,Y,1470,2,0,3,1,6,Attchd,2,388,Y,2007,WD,177000
50,RM,6240,AllPub,BrkSide,6,1934,CompShg,Wd Sdng,TA,PConc,816,Y,1176,1,0,3,1,6,Detchd,2,528,Y,2006,WD,114500
90,RM,8472,AllPub,IDOTRR,5,1963,CompShg,Wd Sdng,TA,CBlock,816,N,816,1,0,2,1,5,CarPort,2,516,Y,2010,WD,110000
20,RL,50271,AllPub,Veenker,5,1981,WdShngl,WdShing,TA,CBlock,1842,Y,1842,0,1,0,1,5,Attchd,3,894,Y,2006,WD,385000
80,RL,7134,AllPub,NAmes,5,1955,CompShg,MetalSd,TA,CBlock,384,Y,1360,1,0,3,1,6,Detchd,2,572,Y,2007,WD,130000
20,RL,10175,AllPub,NAmes,5,1964,CompShg,HdBoard,TA,CBlock,1425,Y,1425,2,0,3,1,7,Attchd,2,576,Y,2008,WD,180500
160,FV,2645,AllPub,Somerst,5,1999,CompShg,MetalSd,TA,PConc,970,Y,1739,2,1,3,1,7,Attchd,2,480,Y,2009,WD,172500
60,RL,11645,AllPub,CollgCr,5,2004,CompShg,VinylSd,TA,PConc,860,Y,1720,2,1,3,1,7,Attchd,2,565,Y,2006,WD,196500
60,RL,13682,AllPub,StoneBr,5,2006,CompShg,VinylSd,TA,PConc,1410,Y,2945,3,1,3,1,10,BuiltIn,3,641,Y,2006,New,438780
20,RL,7200,AllPub,CollgCr,7,1972,CompShg,HdBoard,TA,CBlock,780,Y,780,1,0,2,1,4,Detchd,1,352,Y,2008,WD,124900
20,RL,13072,AllPub,SawyerW,5,2004,CompShg,VinylSd,TA,PConc,1158,Y,1158,1,1,3,1,5,Detchd,2,576,Y,2006,New,158000
75,RM,7200,AllPub,IDOTRR,7,1920,CompShg,MetalSd,TA,BrkTil,530,N,1111,1,0,3,1,6,Detchd,1,288,N,2007,WD,101000
120,RL,6442,AllPub,NridgHt,5,2006,CompShg,VinylSd,TA,PConc,1370,Y,1370,2,0,2,1,6,Attchd,2,484,Y,2007,WD,202500
70,RM,10300,AllPub,OldTown,6,1921,CompShg,Stucco,TA,BrkTil,576,Y,1710,2,0,3,1,9,Detchd,2,480,Y,2010,WD,140000
60,RL,9375,AllPub,CollgCr,5,1997,CompShg,VinylSd,TA,PConc,1057,Y,2034,2,1,3,1,8,Attchd,2,645,Y,2009,WD,219500
60,RL,9591,AllPub,NridgHt,5,2004,CompShg,VinylSd,TA,PConc,1143,Y,2473,2,1,4,1,9,BuiltIn,3,852,Y,2007,WD,317000
20,RL,19900,AllPub,NAmes,5,1970,CompShg,Plywood,TA,CBlock,1947,Y,2207,2,0,3,1,7,Attchd,2,576,Y,2010,WD,180000
20,RL,10665,AllPub,CollgCr,5,2003,CompShg,VinylSd,TA,PConc,1453,Y,1479,2,0,3,1,7,Attchd,2,558,Y,2007,WD,226000
30,RM,4608,AllPub,OldTown,6,1945,CompShg,MetalSd,Gd,CBlock,747,Y,747,1,0,2,1,4,Attchd,1,220,Y,2010,WD,80000
50,RL,15593,AllPub,ClearCr,4,1953,CompShg,BrkFace,TA,CBlock,1304,Y,2287,2,0,3,1,7,Attchd,2,667,Y,2006,WD,225000
20,RL,13651,AllPub,NAmes,6,1973,CompShg,Plywood,Gd,CBlock,2223,Y,2223,2,0,3,1,8,Attchd,2,516,Y,2007,WD,244000
20,RL,7599,AllPub,Mitchel,6,1982,CompShg,HdBoard,TA,CBlock,845,Y,845,1,0,2,1,4,Detchd,2,360,Y,2007,WD,129500
60,RL,10141,AllPub,Gilbert,5,1998,CompShg,VinylSd,TA,PConc,832,Y,1718,2,1,3,1,7,Attchd,2,427,Y,2009,WD,185000
20,RL,10200,AllPub,NAmes,7,1954,CompShg,Wd Sdng,TA,CBlock,1086,Y,1086,1,0,3,1,6,Attchd,2,490,Y,2010,WD,144900
50,RM,5790,AllPub,OldTown,6,1915,CompShg,VinylSd,Gd,CBlock,840,N,1605,2,0,3,2,8,Detchd,1,379,Y,2010,WD,107400
180,RM,1596,AllPub,MeadowV,5,1973,CompShg,CemntBd,TA,CBlock,462,Y,988,1,0,2,1,5,BuiltIn,1,297,Y,2009,WD,91000
20,RL,8475,AllPub,NAmes,7,1956,CompShg,VinylSd,TA,CBlock,952,Y,952,1,0,2,1,4,Detchd,1,283,Y,2008,WD,135750
50,RM,8635,AllPub,BrkSide,5,1948,CompShg,Wd Sdng,TA,CBlock,672,Y,1285,1,0,2,1,6,Detchd,1,240,Y,2008,WD,127000
90,RL,10778,AllPub,Sawyer,5,1968,CompShg,HdBoard,TA,CBlock,1768,N,1768,2,0,4,2,8,,0,0,Y,2010,WD,136500
50,RM,10440,AllPub,OldTown,6,1910,CompShg,Wd Sdng,TA,PConc,440,Y,1230,1,1,2,1,5,Detchd,2,440,Y,2009,WD,110000
60,RL,13000,AllPub,NAmes,6,1968,CompShg,VinylSd,Gd,CBlock,896,Y,2142,2,1,4,1,8,Attchd,1,509,Y,2009,WD,193500
120,RM,4500,AllPub,Mitchel,5,1998,CompShg,VinylSd,Gd,PConc,1237,Y,1337,2,0,2,1,5,Attchd,2,405,Y,2006,WD,153500
20,RL,10206,AllPub,Somerst,5,2007,CompShg,VinylSd,TA,PConc,1563,Y,1563,2,0,3,1,6,Attchd,3,758,Y,2008,WD,245000
20,RL,8892,AllPub,NAmes,5,1960,CompShg,MetalSd,TA,CBlock,1065,Y,1065,1,1,3,1,6,Detchd,2,461,Y,2007,COD,126500
80,RL,8530,AllPub,Gilbert,5,1995,CompShg,HdBoard,TA,PConc,384,Y,1474,2,1,3,1,7,BuiltIn,2,400,Y,2009,WD,168500
60,RL,16059,AllPub,NoRidge,5,1991,CompShg,HdBoard,TA,CBlock,1288,Y,2417,2,1,4,1,9,Attchd,2,462,Y,2006,WD,260000
60,RL,11911,AllPub,Gilbert,5,2005,CompShg,VinylSd,TA,PConc,684,Y,1560,2,1,3,1,6,BuiltIn,2,400,Y,2009,WD,174000
160,FV,3951,AllPub,Somerst,5,2009,CompShg,VinylSd,TA,PConc,612,Y,1224,2,1,2,1,4,Detchd,2,528,Y,2009,New,164500
50,C (all),8470,AllPub,IDOTRR,2,1915,CompShg,Plywood,Fa,CBlock,1013,N,1526,1,0,2,1,6,,0,0,N,2009,ConLD,85000
20,RL,8070,AllPub,CollgCr,5,1994,CompShg,VinylSd,TA,PConc,990,Y,990,1,0,3,1,5,,0,0,Y,2007,WD,123600
20,RL,7200,AllPub,NAmes,5,1950,CompShg,BrkFace,TA,Slab,0,Y,1040,1,0,2,1,4,Detchd,2,420,Y,2006,WD,109900
20,RL,8500,AllPub,NAmes,3,1961,CompShg,HdBoard,TA,CBlock,1235,Y,1235,1,0,2,1,6,Attchd,2,480,Y,2006,WD,98600
30,RL,13360,AllPub,Crawfor,7,1921,CompShg,Wd Sdng,Gd,BrkTil,876,Y,964,1,0,2,1,5,Detchd,2,432,Y,2009,WD,163500
190,C (all),7200,AllPub,OldTown,6,1910,CompShg,MetalSd,TA,BrkTil,1214,N,2291,2,0,4,2,9,Detchd,2,506,Y,2007,WD,133900
60,RL,9337,AllPub,CollgCr,5,1997,CompShg,VinylSd,Gd,PConc,824,Y,1786,2,1,3,1,7,Attchd,2,684,Y,2007,WD,204750
60,RL,9765,AllPub,Gilbert,8,1993,CompShg,VinylSd,Gd,PConc,680,Y,1470,2,1,3,1,6,BuiltIn,2,420,Y,2009,WD,185000
20,RL,10264,AllPub,CollgCr,5,1999,CompShg,VinylSd,TA,PConc,1588,Y,1588,2,0,3,1,6,Attchd,2,472,Y,2006,WD,214000
20,RL,10921,AllPub,Edwards,5,1965,CompShg,HdBoard,TA,CBlock,960,Y,960,1,0,3,1,6,Attchd,1,432,P,2007,WD,94750
30,RL,10625,AllPub,Edwards,5,1920,CompShg,Wd Sdng,TA,BrkTil,458,N,835,1,0,2,1,5,Basment,1,366,Y,2010,COD,83000
20,RL,9320,AllPub,NAmes,5,1959,CompShg,Plywood,TA,CBlock,950,Y,1225,1,1,3,1,6,,0,0,Y,2010,WD,128950
20,RL,10603,AllPub,NWAmes,7,1977,CompShg,Plywood,TA,PConc,1610,Y,1610,2,0,3,1,6,Attchd,2,480,Y,2010,WD,205000
60,RL,9206,AllPub,SawyerW,5,1985,CompShg,HdBoard,TA,CBlock,741,Y,1732,2,1,3,1,7,Attchd,2,476,Y,2010,WD,178000
90,RL,7018,AllPub,SawyerW,5,1979,CompShg,HdBoard,Fa,Slab,0,Y,1535,2,0,4,2,8,Attchd,2,410,Y,2009,WD,118964
20,RL,10402,AllPub,CollgCr,5,2009,CompShg,VinylSd,TA,PConc,1226,Y,1226,2,0,3,1,6,Attchd,3,740,Y,2010,WD,198900
50,RM,7758,AllPub,IDOTRR,4,1931,CompShg,Stucco,Fa,PConc,1040,Y,1818,1,1,4,1,7,Detchd,1,240,Y,2007,WD,169500
60,FV,9375,AllPub,Somerst,5,2003,CompShg,VinylSd,TA,PConc,1053,Y,1992,2,1,3,1,9,Attchd,2,648,Y,2008,WD,250000
30,RM,10800,AllPub,OldTown,7,1885,CompShg,VinylSd,TA,BrkTil,641,Y,1047,1,0,2,1,6,Detchd,1,273,N,2007,WD,100000
20,RM,6000,AllPub,OldTown,5,1948,CompShg,VinylSd,TA,CBlock,789,Y,789,1,0,2,1,5,Detchd,1,250,Y,2008,WD,115000
50,RM,8500,AllPub,IDOTRR,7,1919,CompShg,CemntBd,TA,CBlock,793,N,1517,2,0,3,1,7,,0,0,N,2007,WD,115000
20,RL,11751,AllPub,NWAmes,6,1977,CompShg,Plywood,TA,CBlock,1844,Y,1844,2,0,3,1,7,Attchd,2,546,Y,2010,COD,190000
50,RL,9525,AllPub,Edwards,4,1954,CompShg,Wd Sdng,TA,CBlock,994,Y,1855,2,0,4,1,7,Attchd,1,325,Y,2006,WD,136900
80,RL,7750,AllPub,Gilbert,5,2000,CompShg,VinylSd,TA,PConc,384,Y,1430,2,1,3,1,7,BuiltIn,2,400,Y,2010,WD,180000
60,RL,9965,AllPub,CollgCr,5,2007,CompShg,VinylSd,TA,PConc,1264,Y,2696,2,1,4,1,10,BuiltIn,3,792,Y,2007,New,383970
20,RL,21000,AllPub,Crawfor,5,1953,CompShg,Wd Sdng,Gd,CBlock,1809,Y,2259,2,0,3,1,7,Basment,2,450,Y,2007,COD,217000
70,RL,7259,AllPub,Crawfor,8,1945,CompShg,Wd Sdng,TA,CBlock,1028,Y,2320,2,1,3,1,9,Detchd,1,180,Y,2007,WD,259500
160,FV,3230,AllPub,Somerst,5,1999,CompShg,MetalSd,TA,PConc,729,Y,1458,2,1,2,1,5,Detchd,2,440,Y,2007,WD,176000
20,RL,11616,AllPub,Sawyer,5,1962,CompShg,Wd Sdng,TA,CBlock,1092,Y,1092,1,0,3,1,6,Attchd,1,288,Y,2009,WD,139000
20,RL,8536,AllPub,Edwards,5,2006,CompShg,VinylSd,TA,PConc,1125,Y,1125,1,1,2,1,5,Attchd,2,430,Y,2007,New,155000
60,RL,12376,AllPub,SawyerW,5,1990,CompShg,Plywood,TA,PConc,1673,Y,3222,3,0,5,1,11,Attchd,3,594,Y,2010,WD,320000
60,RL,8461,AllPub,CollgCr,5,2005,CompShg,VinylSd,TA,PConc,728,Y,1456,2,1,3,1,8,Attchd,2,390,Y,2006,New,163990
80,RL,21453,AllPub,ClearCr,5,1969,Metal,Plywood,TA,CBlock,938,Y,988,1,0,1,1,4,Attchd,2,540,Y,2006,WD,180000
50,RM,6060,AllPub,IDOTRR,5,1939,CompShg,AsbShng,TA,PConc,732,Y,1123,1,0,3,1,4,Detchd,1,264,P,2007,WD,100000
20,RL,9464,AllPub,NAmes,7,1958,CompShg,MetalSd,Gd,CBlock,1080,Y,1080,1,0,3,1,5,Attchd,1,288,Y,2008,WD,136000
120,RL,7892,AllPub,SawyerW,5,1993,CompShg,Plywood,TA,PConc,1199,Y,1199,2,0,2,1,5,Attchd,2,530,Y,2008,WD,153900
20,RL,17043,AllPub,NWAmes,5,1979,CompShg,HdBoard,Gd,CBlock,1362,Y,1586,2,0,3,1,7,Attchd,2,435,Y,2009,WD,181000
190,RM,6780,AllPub,IDOTRR,8,1935,CompShg,Wd Sdng,Fa,CBlock,520,N,754,1,0,2,1,5,,0,0,N,2006,WD,84500
120,RL,4928,AllPub,NPkVill,5,1976,CompShg,Plywood,TA,CBlock,1078,Y,958,2,0,2,1,5,Attchd,2,440,Y,2007,WD,128000
45,RM,4388,AllPub,OldTown,7,1930,CompShg,WdShing,Gd,BrkTil,672,Y,840,1,0,3,1,5,,0,0,N,2007,WD,87000
60,RL,7590,AllPub,NAmes,5,1966,CompShg,VinylSd,TA,CBlock,660,Y,1348,1,1,3,1,6,Attchd,2,453,Y,2006,WD,155000
20,RL,8973,AllPub,NAmes,7,1958,CompShg,Plywood,TA,CBlock,1008,Y,1053,1,1,3,1,6,2Types,2,750,Y,2006,WD,150000
60,RL,14200,AllPub,NAmes,6,1966,CompShg,MetalSd,TA,CBlock,924,Y,2157,2,1,4,1,8,Attchd,2,487,Y,2006,WD,226000
60,RL,12224,AllPub,Gilbert,5,2000,CompShg,VinylSd,TA,PConc,992,Y,2054,2,1,3,1,7,BuiltIn,2,390,Y,2009,WD,244000
20,RL,7388,AllPub,NAmes,6,1959,CompShg,MetalSd,TA,CBlock,1063,Y,1327,1,0,3,1,7,Detchd,2,624,Y,2007,WD,150750
20,RL,6853,AllPub,Timber,5,2001,CompShg,VinylSd,TA,PConc,1267,Y,1296,2,0,2,1,6,Attchd,2,471,Y,2009,WD,220000
20,RL,10335,AllPub,Sawyer,6,1968,CompShg,Plywood,TA,CBlock,1461,Y,1721,2,1,3,1,7,Attchd,2,440,Y,2006,WD,180000
20,RL,10400,AllPub,NWAmes,6,1970,CompShg,Plywood,TA,PConc,1304,Y,1682,2,0,3,1,7,Attchd,2,530,Y,2008,WD,174000
20,RL,10355,AllPub,NAmes,5,1967,CompShg,MetalSd,TA,CBlock,1214,Y,1214,2,0,3,1,5,Attchd,1,318,Y,2007,WD,143000
90,RL,11070,AllPub,Mitchel,5,1988,CompShg,VinylSd,TA,CBlock,1907,Y,1959,3,0,5,2,9,2Types,3,766,Y,2006,WD,171000
60,RL,9066,AllPub,CollgCr,5,1999,CompShg,VinylSd,TA,PConc,1004,Y,1852,2,1,3,1,7,Attchd,3,660,Y,2008,WD,230000
60,RL,15426,AllPub,CollgCr,5,1997,CompShg,VinylSd,TA,PConc,928,Y,1764,2,1,3,1,7,Attchd,2,470,Y,2009,WD,231500
20,RL,10500,AllPub,NAmes,5,1971,CompShg,HdBoard,TA,CBlock,864,Y,864,1,0,3,1,5,,0,0,Y,2010,ConLI,115000
20,RL,11645,AllPub,CollgCr,5,2005,CompShg,VinylSd,TA,PConc,1734,Y,1734,2,0,3,1,7,Attchd,2,660,Y,2006,WD,260000
50,RL,8520,AllPub,NAmes,4,1952,CompShg,BrkFace,Fa,CBlock,910,Y,1385,2,0,4,1,6,Detchd,2,720,Y,2010,WD,166000
20,RL,10335,AllPub,CollgCr,5,1999,CompShg,VinylSd,TA,PConc,1490,Y,1501,2,0,3,1,6,Attchd,2,577,Y,2009,WD,204000
90,RM,9100,AllPub,Sawyer,5,1963,CompShg,HdBoard,TA,CBlock,1728,Y,1728,2,0,6,2,10,Detchd,2,504,Y,2006,ConLI,125000
160,RM,2522,AllPub,Edwards,5,2004,CompShg,VinylSd,TA,PConc,970,Y,1709,2,0,3,1,7,Detchd,2,380,Y,2006,WD,130000
30,RM,6120,AllPub,BrkSide,7,1931,CompShg,Wd Sdng,TA,BrkTil,715,Y,875,1,0,2,1,5,Detchd,1,180,Y,2009,WD,105000
60,RL,9505,AllPub,Gilbert,5,2001,CompShg,VinylSd,TA,PConc,884,Y,2035,2,1,3,1,8,BuiltIn,2,434,Y,2010,WD,222500
20,RL,7500,AllPub,SawyerW,5,2004,CompShg,VinylSd,TA,PConc,1080,Y,1080,1,0,3,1,6,,0,0,Y,2008,WD,141000
50,RM,6240,AllPub,BrkSide,4,1936,CompShg,MetalSd,TA,BrkTil,896,Y,1344,1,0,3,1,7,Detchd,1,240,Y,2006,WD,115000
20,RL,10356,AllPub,CollgCr,6,1975,CompShg,HdBoard,TA,CBlock,969,Y,969,1,1,3,1,5,Attchd,2,440,Y,2007,WD,122000
20,RL,13891,AllPub,NridgHt,5,2007,CompShg,VinylSd,TA,PConc,1710,Y,1710,2,0,2,1,6,Attchd,3,866,Y,2008,New,372402
60,RL,14803,AllPub,NWAmes,5,1971,CompShg,HdBoard,TA,CBlock,825,Y,1993,2,1,4,1,8,Attchd,2,495,Y,2006,WD,190000
20,RL,13500,AllPub,ClearCr,7,1960,CompShg,BrkFace,TA,CBlock,1602,Y,1252,1,0,1,1,4,Attchd,2,564,Y,2008,WD,235000
30,RM,11340,AllPub,OldTown,5,1923,CompShg,Wd Sdng,TA,BrkTil,1200,Y,1200,1,0,4,1,7,Detchd,1,312,Y,2006,WD,125000
50,RL,9600,AllPub,Edwards,5,1924,CompShg,Wd Sdng,TA,BrkTil,572,N,1096,1,0,2,1,5,,0,0,N,2008,WD,79000
20,RL,7200,AllPub,NAmes,7,1950,CompShg,Wd Sdng,TA,CBlock,0,Y,1040,1,0,2,1,5,Detchd,2,625,Y,2006,WD,109500
60,RL,12003,AllPub,Timber,5,2009,CompShg,VinylSd,TA,PConc,774,Y,1968,2,1,4,1,8,BuiltIn,3,680,Y,2010,New,269500
60,FV,12552,AllPub,Somerst,5,2004,CompShg,VinylSd,TA,PConc,991,Y,1947,2,1,3,1,8,Attchd,2,678,Y,2010,WD,254900
60,RL,19378,AllPub,Gilbert,5,2005,CompShg,VinylSd,TA,PConc,1392,Y,2462,2,1,4,1,9,Attchd,2,576,Y,2006,New,320000
20,RL,11120,AllPub,Veenker,6,1984,CompShg,Plywood,TA,PConc,1232,Y,1232,2,0,3,1,6,Attchd,2,516,Y,2008,WD,162500
60,RL,13688,AllPub,NridgHt,5,2003,CompShg,VinylSd,TA,PConc,1572,Y,2668,2,1,3,1,10,BuiltIn,3,726,Y,2008,WD,412500
20,RL,12182,AllPub,NridgHt,5,2005,CompShg,VinylSd,TA,PConc,1541,Y,1541,2,0,3,1,7,Attchd,2,532,Y,2010,New,220000
45,RL,5500,AllPub,OldTown,6,1956,CompShg,MetalSd,TA,CBlock,882,Y,882,1,0,1,1,4,,0,0,Y,2007,WD,103200
40,RM,5400,AllPub,OldTown,7,1926,CompShg,MetalSd,Gd,BrkTil,1149,Y,1616,2,0,3,1,5,Detchd,1,216,Y,2007,WD,152000
190,RL,10106,AllPub,Edwards,7,1940,CompShg,Wd Sdng,Gd,BrkTil,644,Y,1355,2,0,4,2,6,,0,0,Y,2008,WD,127500
20,RL,10708,AllPub,ClearCr,5,1955,CompShg,Wd Sdng,TA,CBlock,1617,Y,1867,1,0,2,1,7,Attchd,1,303,Y,2009,COD,190000
