MSSubClass,LotArea,Utilities,OverallCond,RoofMatl,Foundation,CentralAir,GrLivArea,KitchenAbvGr,TotRmsAbvGrd,GarageType,GarageArea,PavedDrive,SalePrice,Age
70,8500,AllPub,4,CompShg,BrkTil,N,1317,1,6,Detchd,250,N,40000,88
20,8544,AllPub,6,CompShg,CBlock,Y,1228,1,6,Attchd,271,Y,149350,42
20,11049,AllPub,5,CompShg,PConc,Y,1234,1,7,Attchd,484,Y,179900,1
20,10552,AllPub,5,CompShg,CBlock,Y,1700,1,6,Attchd,447,Y,165500,51
120,7313,AllPub,5,CompShg,PConc,Y,1561,1,6,Attchd,556,Y,277500,2
60,13418,AllPub,5,CompShg,PConc,Y,2452,1,9,BuiltIn,691,Y,309000,2
20,10859,AllPub,5,CompShg,PConc,Y,1097,1,6,Attchd,672,Y,145000,15
20,8532,AllPub,6,CompShg,CBlock,Y,1297,1,5,Attchd,498,Y,153000,55
20,7922,AllPub,7,CompShg,CBlock,Y,1057,1,5,Detchd,246,Y,109000,57
90,6040,AllPub,5,CompShg,PConc,N,1152,2,6,,0,N,82000,53
20,8658,AllPub,5,CompShg,CBlock,Y,1324,1,6,Attchd,440,Y,160000,41
20,16905,AllPub,6,CompShg,CBlock,Y,1328,1,5,Attchd,308,P,170000,48
85,9180,AllPub,7,CompShg,CBlock,Y,884,1,5,Attchd,504,Y,144000,24
20,9200,AllPub,6,CompShg,CBlock,Y,938,1,5,Detchd,308,Y,130250,33
20,7945,AllPub,6,CompShg,CBlock,Y,1150,1,6,Attchd,300,Y,141000,47
120,7658,AllPub,5,CompShg,PConc,Y,1752,1,6,Attchd,576,Y,319900,5
50,12822,AllPub,5,CompShg,PConc,Y,2149,1,6,Attchd,670,Y,239686,6
20,11096,AllPub,5,CompShg,PConc,Y,1656,1,7,Attchd,826,Y,249700,1
190,4456,AllPub,5,CompShg,BrkTil,Y,1452,3,8,,0,N,113000,89
20,7742,AllPub,7,CompShg,CBlock,Y,955,1,6,Attchd,386,Y,127000,41
60,13869,AllPub,6,CompShg,PConc,Y,1470,1,6,Attchd,388,Y,177000,10
50,6240,AllPub,6,CompShg,PConc,Y,1176,1,6,Detchd,528,Y,114500,72
90,8472,AllPub,5,CompShg,CBlock,N,816,1,5,CarPort,516,Y,110000,47
20,50271,AllPub,5,WdShngl,CBlock,Y,1842,1,5,Attchd,894,Y,385000,25
80,7134,AllPub,5,CompShg,CBlock,Y,1360,1,6,Detchd,572,Y,130000,52
20,10175,AllPub,5,CompShg,CBlock,Y,1425,1,7,Attchd,576,Y,180500,44
160,2645,AllPub,5,CompShg,PConc,Y,1739,1,7,Attchd,480,Y,172500,10
60,11645,AllPub,5,CompShg,PConc,Y,1720,1,7,Attchd,565,Y,196500,2
60,13682,AllPub,5,CompShg,PConc,Y,2945,1,10,BuiltIn,641,Y,438780,0
20,7200,AllPub,7,CompShg,CBlock,Y,780,1,4,Detchd,352,Y,124900,36
20,13072,AllPub,5,CompShg,PConc,Y,1158,1,5,Detchd,576,Y,158000,2
75,7200,AllPub,7,CompShg,BrkTil,N,1111,1,6,Detchd,288,N,101000,87
120,6442,AllPub,5,CompShg,PConc,Y,1370,1,6,Attchd,484,Y,202500,1
70,10300,AllPub,6,CompShg,BrkTil,Y,1710,1,9,Detchd,480,Y,140000,89
60,9375,AllPub,5,CompShg,PConc,Y,2034,1,8,Attchd,645,Y,219500,12
60,9591,AllPub,5,CompShg,PConc,Y,2473,1,9,BuiltIn,852,Y,317000,3
20,19900,AllPub,5,CompShg,CBlock,Y,2207,1,7,Attchd,576,Y,180000,40
20,10665,AllPub,5,CompShg,PConc,Y,1479,1,7,Attchd,558,Y,226000,4
30,4608,AllPub,6,CompShg,CBlock,Y,747,1,4,Attchd,220,Y,80000,65
50,15593,AllPub,4,CompShg,CBlock,Y,2287,1,7,Attchd,667,Y,225000,53
20,13651,AllPub,6,CompShg,CBlock,Y,2223,1,8,Attchd,516,Y,244000,34
20,7599,AllPub,6,CompShg,CBlock,Y,845,1,4,Detchd,360,Y,129500,25
60,10141,AllPub,5,CompShg,PConc,Y,1718,1,7,Attchd,427,Y,185000,11
20,10200,AllPub,7,CompShg,CBlock,Y,1086,1,6,Attchd,490,Y,144900,56
50,5790,AllPub,6,CompShg,CBlock,N,1605,2,8,Detchd,379,Y,107400,95
180,1596,AllPub,5,CompShg,CBlock,Y,988,1,5,BuiltIn,297,Y,91000,36
20,8475,AllPub,7,CompShg,CBlock,Y,952,1,4,Detchd,283,Y,135750,52
50,8635,AllPub,5,CompShg,CBlock,Y,1285,1,6,Detchd,240,Y,127000,60
90,10778,AllPub,5,CompShg,CBlock,N,1768,2,8,,0,Y,136500,42
50,10440,AllPub,6,CompShg,PConc,Y,1230,1,5,Detchd,440,Y,110000,99
60,13000,AllPub,6,CompShg,CBlock,Y,2142,1,8,Attchd,509,Y,193500,41
120,4500,AllPub,5,CompShg,PConc,Y,1337,1,5,Attchd,405,Y,153500,8
20,10206,AllPub,5,CompShg,PConc,Y,1563,1,6,Attchd,758,Y,245000,1
20,8892,AllPub,5,CompShg,CBlock,Y,1065,1,6,Detchd,461,Y,126500,47
80,8530,AllPub,5,CompShg,PConc,Y,1474,1,7,BuiltIn,400,Y,168500,14
60,16059,AllPub,5,CompShg,CBlock,Y,2417,1,9,Attchd,462,Y,260000,15
60,11911,AllPub,5,CompShg,PConc,Y,1560,1,6,BuiltIn,400,Y,174000,4
160,3951,AllPub,5,CompShg,PConc,Y,1224,1,4,Detchd,528,Y,164500,0
50,8470,AllPub,2,CompShg,CBlock,N,1526,1,6,,0,N,85000,94
20,8070,AllPub,5,CompShg,PConc,Y,990,1,5,,0,Y,123600,13
20,7200,AllPub,5,CompShg,Slab,Y,1040,1,4,Detchd,420,Y,109900,56
20,8500,AllPub,3,CompShg,CBlock,Y,1235,1,6,Attchd,480,Y,98600,45
30,13360,AllPub,7,CompShg,BrkTil,Y,964,1,5,Detchd,432,Y,163500,88
190,7200,AllPub,6,CompShg,BrkTil,N,2291,2,9,Detchd,506,Y,133900,97
60,9337,AllPub,5,CompShg,PConc,Y,1786,1,7,Attchd,684,Y,204750,10
60,9765,AllPub,8,CompShg,PConc,Y,1470,1,6,BuiltIn,420,Y,185000,16
20,10264,AllPub,5,CompShg,PConc,Y,1588,1,6,Attchd,472,Y,214000,7
20,10921,AllPub,5,CompShg,CBlock,Y,960,1,6,Attchd,432,P,94750,42
30,10625,AllPub,5,CompShg,BrkTil,N,835,1,5,Basment,366,Y,83000,90
20,9320,AllPub,5,CompShg,CBlock,Y,1225,1,6,,0,Y,128950,51
20,10603,AllPub,7,CompShg,PConc,Y,1610,1,6,Attchd,480,Y,205000,33
60,9206,AllPub,5,CompShg,CBlock,Y,1732,1,7,Attchd,476,Y,178000,25
90,7018,AllPub,5,CompShg,Slab,Y,1535,2,8,Attchd,410,Y,118964,30
20,10402,AllPub,5,CompShg,PConc,Y,1226,1,6,Attchd,740,Y,198900,1
50,7758,AllPub,4,CompShg,PConc,Y,1818,1,7,Detchd,240,Y,169500,76
60,9375,AllPub,5,CompShg,PConc,Y,1992,1,9,Attchd,648,Y,250000,5
30,10800,AllPub,7,CompShg,BrkTil,Y,1047,1,6,Detchd,273,N,100000,122
20,6000,AllPub,5,CompShg,CBlock,Y,789,1,5,Detchd,250,Y,115000,60
50,8500,AllPub,7,CompShg,CBlock,N,1517,1,7,,0,N,115000,88
20,11751,AllPub,6,CompShg,CBlock,Y,1844,1,7,Attchd,546,Y,190000,33
50,9525,AllPub,4,CompShg,CBlock,Y,1855,1,7,Attchd,325,Y,136900,52
80,7750,AllPub,5,CompShg,PConc,Y,1430,1,7,BuiltIn,400,Y,180000,10
60,9965,AllPub,5,CompShg,PConc,Y,2696,1,10,BuiltIn,792,Y,383970,0
20,21000,AllPub,5,CompShg,CBlock,Y,2259,1,7,Basment,450,Y,217000,54
70,7259,AllPub,8,CompShg,CBlock,Y,2320,1,9,Detchd,180,Y,259500,62
160,3230,AllPub,5,CompShg,PConc,Y,1458,1,5,Detchd,440,Y,176000,8
20,11616,AllPub,5,CompShg,CBlock,Y,1092,1,6,Attchd,288,Y,139000,47
20,8536,AllPub,5,CompShg,PConc,Y,1125,1,5,Attchd,430,Y,155000,1
60,12376,AllPub,5,CompShg,PConc,Y,3222,1,11,Attchd,594,Y,320000,20
60,8461,AllPub,5,CompShg,PConc,Y,1456,1,8,Attchd,390,Y,163990,1
80,21453,AllPub,5,Metal,CBlock,Y,988,1,4,Attchd,540,Y,180000,37
50,6060,AllPub,5,CompShg,PConc,Y,1123,1,4,Detchd,264,P,100000,68
20,9464,AllPub,7,CompShg,CBlock,Y,1080,1,5,Attchd,288,Y,136000,50
120,7892,AllPub,5,CompShg,PConc,Y,1199,1,5,Attchd,530,Y,153900,15
20,17043,AllPub,5,CompShg,CBlock,Y,1586,1,7,Attchd,435,Y,181000,30
190,6780,AllPub,8,CompShg,CBlock,N,754,1,5,,0,N,84500,71
120,4928,AllPub,5,CompShg,CBlock,Y,958,1,5,Attchd,440,Y,128000,31
45,4388,AllPub,7,CompShg,BrkTil,Y,840,1,5,,0,N,87000,77
60,7590,AllPub,5,CompShg,CBlock,Y,1348,1,6,Attchd,453,Y,155000,40
20,8973,AllPub,7,CompShg,CBlock,Y,1053,1,6,2Types,750,Y,150000,48
60,14200,AllPub,6,CompShg,CBlock,Y,2157,1,8,Attchd,487,Y,226000,40
60,12224,AllPub,5,CompShg,PConc,Y,2054,1,7,BuiltIn,390,Y,244000,9
20,7388,AllPub,6,CompShg,CBlock,Y,1327,1,7,Detchd,624,Y,150750,48
20,6853,AllPub,5,CompShg,PConc,Y,1296,1,6,Attchd,471,Y,220000,8
20,10335,AllPub,6,CompShg,CBlock,Y,1721,1,7,Attchd,440,Y,180000,38
20,10400,AllPub,6,CompShg,PConc,Y,1682,1,7,Attchd,530,Y,174000,38
20,10355,AllPub,5,CompShg,CBlock,Y,1214,1,5,Attchd,318,Y,143000,40
90,11070,AllPub,5,CompShg,CBlock,Y,1959,2,9,2Types,766,Y,171000,18
60,9066,AllPub,5,CompShg,PConc,Y,1852,1,7,Attchd,660,Y,230000,9
60,15426,AllPub,5,CompShg,PConc,Y,1764,1,7,Attchd,470,Y,231500,12
20,10500,AllPub,5,CompShg,CBlock,Y,864,1,5,,0,Y,115000,39
20,11645,AllPub,5,CompShg,PConc,Y,1734,1,7,Attchd,660,Y,260000,1
50,8520,AllPub,4,CompShg,CBlock,Y,1385,1,6,Detchd,720,Y,166000,58
20,10335,AllPub,5,CompShg,PConc,Y,1501,1,6,Attchd,577,Y,204000,10
90,9100,AllPub,5,CompShg,CBlock,Y,1728,2,10,Detchd,504,Y,125000,43
160,2522,AllPub,5,CompShg,PConc,Y,1709,1,7,Detchd,380,Y,130000,2
30,6120,AllPub,7,CompShg,BrkTil,Y,875,1,5,Detchd,180,Y,105000,78
60,9505,AllPub,5,CompShg,PConc,Y,2035,1,8,BuiltIn,434,Y,222500,9
20,7500,AllPub,5,CompShg,PConc,Y,1080,1,6,,0,Y,141000,4
50,6240,AllPub,4,CompShg,BrkTil,Y,1344,1,7,Detchd,240,Y,115000,70
20,10356,AllPub,6,CompShg,CBlock,Y,969,1,5,Attchd,440,Y,122000,32
20,13891,AllPub,5,CompShg,PConc,Y,1710,1,6,Attchd,866,Y,372402,1
60,14803,AllPub,5,CompShg,CBlock,Y,1993,1,8,Attchd,495,Y,190000,35
20,13500,AllPub,7,CompShg,CBlock,Y,1252,1,4,Attchd,564,Y,235000,48
30,11340,AllPub,5,CompShg,BrkTil,Y,1200,1,7,Detchd,312,Y,125000,83
50,9600,AllPub,5,CompShg,BrkTil,N,1096,1,5,,0,N,79000,84
20,7200,AllPub,7,CompShg,CBlock,Y,1040,1,5,Detchd,625,Y,109500,56
60,12003,AllPub,5,CompShg,PConc,Y,1968,1,8,BuiltIn,680,Y,269500,1
60,12552,AllPub,5,CompShg,PConc,Y,1947,1,8,Attchd,678,Y,254900,6
60,19378,AllPub,5,CompShg,PConc,Y,2462,1,9,Attchd,576,Y,320000,1
20,11120,AllPub,6,CompShg,PConc,Y,1232,1,6,Attchd,516,Y,162500,24
60,13688,AllPub,5,CompShg,PConc,Y,2668,1,10,BuiltIn,726,Y,412500,5
20,12182,AllPub,5,CompShg,PConc,Y,1541,1,7,Attchd,532,Y,220000,5
45,5500,AllPub,6,CompShg,CBlock,Y,882,1,4,,0,Y,103200,51
40,5400,AllPub,7,CompShg,BrkTil,Y,1616,1,5,Detchd,216,Y,152000,81
190,10106,AllPub,7,CompShg,BrkTil,Y,1355,2,6,,0,Y,127500,68
20,10708,AllPub,5,CompShg,CBlock,Y,1867,1,7,Attchd,303,Y,190000,54
60,10562,AllPub,5,CompShg,PConc,Y,2161,1,8,Attchd,789,Y,325624,0
60,8244,AllPub,5,CompShg,PConc,Y,1720,1,7,Attchd,440,Y,183500,3
20,16669,AllPub,6,WdShake,CBlock,Y,1707,1,6,Attchd,511,Y,228000,25
50,12358,AllPub,6,CompShg,CBlock,Y,1382,1,7,Detchd,660,Y,128500,66
20,31770,AllPub,5,CompShg,CBlock,Y,1656,1,7,Attchd,528,P,215000,50
160,5306,AllPub,7,CompShg,PConc,Y,1767,1,5,Attchd,504,Y,239000,19
20,10197,AllPub,5,CompShg,CBlock,Y,1362,1,6,Attchd,504,Y,163000,47
20,12416,AllPub,5,CompShg,CBlock,Y,1651,1,7,Attchd,616,Y,184000,22
20,12615,AllPub,7,CompShg,CBlock,Y,2158,1,7,Attchd,576,Y,243000,57
60,10029,AllPub,5,CompShg,PConc,Y,2060,1,8,Attchd,521,Y,211000,19
50,13650,AllPub,5,CompShg,CBlock,Y,1920,1,8,Attchd,451,Y,172500,48
20,17423,AllPub,5,CompShg,PConc,Y,2234,1,9,Attchd,1166,Y,501837,1
30,8520,AllPub,6,CompShg,CBlock,Y,968,1,5,Detchd,480,N,100000,84
160,2117,AllPub,5,CompShg,PConc,Y,1525,1,5,Detchd,440,Y,177000,7
70,7588,AllPub,6,CompShg,BrkTil,Y,1802,1,9,Detchd,216,Y,200100,86
20,9060,AllPub,6,CompShg,PConc,Y,1340,1,7,Attchd,252,Y,120000,50
50,11426,AllPub,5,CompShg,PConc,Y,2082,1,6,Detchd,484,N,200000,5
50,7438,AllPub,8,CompShg,PConc,Y,1252,1,5,Attchd,576,Y,127000,98
75,22950,AllPub,9,WdShngl,BrkTil,Y,3608,1,12,Detchd,840,Y,475000,114
80,9947,AllPub,5,CompShg,PConc,Y,1217,1,6,Attchd,497,Y,173000,19
50,10410,AllPub,7,CompShg,CBlock,Y,1656,1,8,Detchd,180,N,135000,93
90,7018,AllPub,5,CompShg,CBlock,Y,1224,2,6,Detchd,528,Y,153337,30
120,4923,AllPub,5,CompShg,PConc,Y,1593,1,5,Attchd,682,Y,286000,7
70,10570,AllPub,8,CompShg,CBlock,Y,2727,1,10,Detchd,440,Y,315000,75
60,7472,AllPub,9,CompShg,CBlock,Y,1479,1,7,Attchd,484,Y,184000,35
20,9017,AllPub,5,CompShg,PConc,Y,1431,1,6,Attchd,666,Y,192000,10
160,2522,AllPub,5,CompShg,PConc,Y,1709,1,7,Detchd,380,Y,130000,2
20,7180,AllPub,7,CompShg,CBlock,Y,864,1,5,Detchd,352,Y,127000,36
160,2280,AllPub,6,CompShg,CBlock,Y,1456,1,7,Attchd,440,Y,148500,33
20,9416,AllPub,5,CompShg,PConc,Y,1726,1,8,Attchd,786,Y,311872,0
75,25419,AllPub,4,CompShg,PConc,Y,3112,1,8,Detchd,795,Y,235000,88
75,5520,AllPub,6,CompShg,CBlock,Y,2229,1,8,,0,Y,104000,97
20,9591,AllPub,5,CompShg,PConc,Y,1713,1,7,Attchd,856,Y,274900,5
20,8546,AllPub,5,CompShg,PConc,Y,1121,1,5,Attchd,440,Y,140000,7
20,10125,AllPub,6,CompShg,CBlock,Y,1279,1,6,Detchd,473,Y,171500,31
50,7000,AllPub,6,CompShg,BrkTil,Y,1310,1,6,Attchd,398,Y,112000,82
120,4438,AllPub,5,CompShg,PConc,Y,848,1,3,Attchd,420,Y,149000,4
50,3500,AllPub,7,CompShg,CBlock,Y,1284,1,5,Detchd,240,Y,110000,62
20,11851,AllPub,5,CompShg,PConc,Y,1442,1,5,Attchd,500,Y,180500,19
20,13673,AllPub,5,CompShg,CBlock,Y,1696,1,8,Attchd,349,Y,143900,45
20,12493,AllPub,5,CompShg,PConc,Y,1100,1,6,Attchd,312,Y,141000,48
60,14364,AllPub,5,CompShg,CBlock,Y,2062,1,7,Attchd,454,Y,277000,19
20,8250,AllPub,7,CompShg,CBlock,Y,1092,1,6,Attchd,504,Y,145000,44
30,5604,AllPub,6,CompShg,CBlock,N,864,1,5,,0,Y,98000,83
20,10420,AllPub,5,CompShg,PConc,Y,1212,1,6,Attchd,460,Y,186000,1
60,8640,AllPub,5,CompShg,PConc,Y,1852,1,7,Attchd,644,Y,252678,0
20,13568,AllPub,5,CompShg,PConc,Y,990,1,5,Attchd,576,Y,156000,11
60,10900,AllPub,7,CompShg,CBlock,Y,1392,1,6,Attchd,299,Y,161750,33
20,10011,AllPub,6,CompShg,CBlock,Y,1236,1,6,Attchd,447,Y,134450,49
20,8450,AllPub,5,CompShg,PConc,Y,1436,1,8,Attchd,484,Y,210000,4
70,9906,AllPub,4,CompShg,CBlock,N,1328,1,8,Detchd,210,Y,107000,81
50,15660,AllPub,9,CompShg,CBlock,Y,1954,1,8,Attchd,431,Y,311500,69
120,3010,AllPub,5,CompShg,PConc,Y,1248,1,5,Attchd,438,Y,167240,1
20,8990,AllPub,5,CompShg,PConc,Y,1498,1,5,Attchd,675,Y,204900,0
60,8068,AllPub,5,CompShg,PConc,Y,2267,1,8,BuiltIn,390,Y,200000,7
60,11475,AllPub,6,CompShg,CBlock,Y,1552,1,6,Attchd,434,Y,179900,31
20,10500,AllPub,6,CompShg,CBlock,Y,864,1,4,Detchd,576,Y,97000,38
20,13472,AllPub,5,CompShg,PConc,Y,2392,1,8,Attchd,968,Y,386250,6
160,1680,AllPub,5,CompShg,CBlock,Y,1302,1,6,Detchd,280,Y,112000,38
60,9950,AllPub,5,CompShg,PConc,Y,2520,1,9,Attchd,721,Y,290000,12
160,1869,AllPub,6,CompShg,CBlock,Y,987,1,5,Detchd,280,Y,106000,38
20,8521,AllPub,5,CompShg,CBlock,Y,912,1,5,Detchd,336,Y,125000,43
120,3182,AllPub,5,CompShg,PConc,Y,1555,1,7,Attchd,430,Y,192500,4
20,8760,AllPub,6,CompShg,CBlock,Y,1194,1,6,Attchd,312,Y,148000,51
60,15138,AllPub,5,CompShg,PConc,Y,2794,1,9,Attchd,810,Y,403000,14
160,1680,AllPub,5,CompShg,CBlock,Y,987,1,5,Attchd,288,Y,94500,34
20,10650,AllPub,6,CompShg,CBlock,Y,894,1,5,Attchd,308,Y,128200,34
60,7851,AllPub,5,CompShg,PConc,Y,1960,1,8,BuiltIn,440,Y,216500,8
160,1680,AllPub,3,CompShg,CBlock,Y,987,1,5,Detchd,264,Y,89500,37
20,8773,AllPub,5,CompShg,PConc,Y,1414,1,6,Attchd,494,Y,185500,6
60,9453,AllPub,7,CompShg,PConc,Y,1744,1,7,Attchd,457,Y,194500,17
20,12030,AllPub,5,CompShg,PConc,Y,1694,1,7,Attchd,818,Y,318000,0
50,8741,AllPub,4,CompShg,CBlock,Y,1487,1,7,Detchd,220,Y,113000,65
20,9000,AllPub,5,CompShg,PConc,Y,1566,1,7,Attchd,750,Y,262500,2
30,3880,AllPub,9,CompShg,CBlock,Y,866,1,4,,0,Y,110500,62
50,5000,AllPub,4,CompShg,BrkTil,N,1440,1,6,Attchd,352,Y,79000,106
160,10762,AllPub,6,CompShg,CBlock,Y,1217,1,6,Attchd,288,Y,120000,29
60,8880,AllPub,5,CompShg,PConc,Y,2110,1,8,Attchd,463,Y,205000,16
20,10400,AllPub,5,CompShg,CBlock,Y,1872,1,6,Attchd,604,Y,241500,18
190,9142,AllPub,8,CompShg,Stone,N,1928,2,9,Detchd,440,Y,137000,96
20,11310,AllPub,5,CompShg,CBlock,Y,1375,1,5,Attchd,451,Y,140000,52
60,11317,AllPub,5,CompShg,PConc,Y,1668,1,8,Attchd,500,Y,180000,4
50,159000,AllPub,7,CompShg,CBlock,Y,2144,1,7,Attchd,389,Y,277000,49
30,5350,AllPub,2,CompShg,CBlock,Y,1306,1,6,,0,Y,76500,70
120,4750,AllPub,5,CompShg,PConc,Y,1625,1,5,Attchd,538,Y,235000,1
60,8366,AllPub,5,CompShg,PConc,Y,1640,1,6,Attchd,520,Y,173000,4
80,9350,AllPub,7,CompShg,CBlock,Y,1302,1,7,Attchd,309,Y,158000,43
20,8400,AllPub,6,CompShg,CBlock,Y,1314,1,5,Attchd,294,Y,145000,53
60,8738,AllPub,5,CompShg,PConc,Y,2291,1,8,BuiltIn,429,Y,230000,7
60,8791,AllPub,5,CompShg,PConc,Y,1728,1,7,Attchd,673,Y,207500,5
20,8814,AllPub,5,CompShg,PConc,Y,1604,1,8,Attchd,660,Y,220000,3
60,12435,AllPub,5,CompShg,PConc,Y,1792,1,7,Attchd,564,Y,231500,7
20,12702,AllPub,5,CompShg,PConc,Y,882,1,4,Detchd,308,Y,97000,52
80,19296,AllPub,5,CompShg,CBlock,Y,1382,1,6,Attchd,884,Y,176000,47
60,9588,AllPub,5,CompShg,PConc,Y,2574,1,10,BuiltIn,868,Y,276000,0
80,8471,AllPub,7,CompShg,CBlock,Y,1212,1,6,Attchd,492,Y,151000,29
50,5500,AllPub,7,CompShg,BrkTil,Y,1316,1,6,Detchd,484,Y,130000,81
30,5232,AllPub,5,CompShg,BrkTil,N,764,1,4,Detchd,504,N,73000,83
20,12090,AllPub,6,CompShg,CBlock,Y,1422,1,7,Attchd,576,Y,175500,27
60,11207,AllPub,5,CompShg,PConc,Y,1511,1,8,Attchd,413,Y,185000,9
75,8400,AllPub,8,CompShg,PConc,Y,2192,1,8,Detchd,240,Y,179500,69
30,6900,AllPub,6,CompShg,CBlock,Y,778,1,4,Detchd,924,Y,120500,68
20,7917,AllPub,7,CompShg,CBlock,Y,1113,1,6,Attchd,504,Y,148000,31
60,10728,AllPub,5,CompShg,PConc,Y,1939,1,8,Attchd,1053,Y,266000,0
20,39104,AllPub,7,Membran,CBlock,Y,1363,1,5,Attchd,439,Y,241500,54
60,11764,AllPub,7,CompShg,PConc,Y,2270,1,9,Attchd,671,Y,290000,11
20,9600,AllPub,6,CompShg,CBlock,Y,1632,1,6,Attchd,338,Y,139000,51
20,8314,AllPub,7,CompShg,CBlock,Y,816,1,5,Attchd,264,Y,124500,25
50,7264,AllPub,7,CompShg,BrkTil,N,1548,1,5,Detchd,672,Y,205000,84
20,9196,AllPub,5,CompShg,PConc,Y,1560,1,7,Attchd,573,Y,201000,7
20,19138,AllPub,5,CompShg,CBlock,Y,864,1,4,Detchd,400,Y,141000,59
20,14450,AllPub,5,CompShg,PConc,Y,2121,1,8,Attchd,732,Y,415298,1
60,10005,AllPub,5,CompShg,CBlock,Y,2022,1,8,Attchd,505,Y,192000,31
60,11287,AllPub,6,CompShg,CBlock,Y,1982,1,7,Attchd,575,Y,228500,18
20,7200,AllPub,5,CompShg,PConc,Y,1262,1,5,Attchd,572,Y,185000,0
120,5063,AllPub,5,CompShg,PConc,Y,1314,1,6,Attchd,626,Y,207500,2
20,9612,AllPub,5,CompShg,PConc,Y,1468,1,6,Attchd,898,Y,244600,1
120,8012,AllPub,5,CompShg,PConc,Y,1575,1,5,Attchd,529,Y,179200,15
160,4251,AllPub,5,CompShg,PConc,Y,1250,1,5,Detchd,528,Y,164700,1
50,9786,AllPub,7,CompShg,CBlock,Y,1734,1,7,Attchd,440,Y,159000,44
20,8125,AllPub,4,CompShg,CBlock,Y,858,1,5,,0,Y,88000,35
20,9819,AllPub,5,CompShg,CBlock,Y,900,1,5,Detchd,280,Y,122000,43
70,8730,AllPub,7,CompShg,BrkTil,Y,1396,1,7,Detchd,384,Y,153575,92
60,15611,AllPub,5,CompShg,PConc,Y,1919,1,8,Attchd,685,Y,233230,0
190,5687,AllPub,6,CompShg,PConc,N,1716,1,9,,0,N,135900,96
50,11409,AllPub,4,CompShg,CBlock,Y,1716,1,8,Attchd,281,Y,131000,60
60,16659,AllPub,7,CompShg,CBlock,Y,2263,1,9,Attchd,539,Y,235000,29
20,9600,AllPub,5,CompShg,CBlock,Y,1644,1,7,Attchd,418,Y,167000,56
80,7937,AllPub,6,CompShg,CBlock,Y,1003,1,6,Detchd,588,Y,142500,22
50,13710,AllPub,5,CompShg,CBlock,Y,1558,1,6,Attchd,282,Y,152000,57
60,7399,AllPub,5,CompShg,PConc,Y,1950,1,7,Detchd,576,Y,239000,10
